member	context	subculture
#campaign_group_member_criteria_subcultures_tables;1;db/campaign_group_member_criteria_subcultures_tables/rhox_dauphine		
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBeastmen	ACTOR	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBeastmen_&_Negative	ACTOR	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBeastmen_&_Positive	ACTOR	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBretonnia	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBretonnia_&_Negative	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionBretonnia_&_Positive	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionChaos	ACTOR	wh_main_sc_chs_chaos
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionChaos_&_Negative	ACTOR	wh_main_sc_chs_chaos
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionChaos_&_Positive	ACTOR	wh_main_sc_chs_chaos
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDarkElves	ACTOR	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDarkElves_&_Negative	ACTOR	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDarkElves_&_Positive	ACTOR	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDwarf	ACTOR	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDwarf_&_Negative	ACTOR	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionDwarf_&_Positive	ACTOR	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionEmpire	ACTOR	wh_main_sc_emp_empire
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionEmpire_&_Negative	ACTOR	wh_main_sc_emp_empire
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionEmpire_&_Positive	ACTOR	wh_main_sc_emp_empire
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionGreenskin	ACTOR	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionGreenskin_&_Negative	ACTOR	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionGreenskin_&_Positive	ACTOR	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionHighElves	ACTOR	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionHighElves_&_Negative	ACTOR	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionHighElves_&_Positive	ACTOR	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionLizardmen	ACTOR	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionLizardmen_&_Negative	ACTOR	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionLizardmen_&_Positive	ACTOR	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionSkaven	ACTOR	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionSkaven_&_Negative	ACTOR	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionSkaven_&_Positive	ACTOR	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionTombKings	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionTombKings_&_Negative	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionTombKings_&_Positive	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionVamp	ACTOR	wh_main_sc_vmp_vampire_counts
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionVamp_&_Negative	ACTOR	wh_main_sc_vmp_vampire_counts
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionVamp_&_Positive	ACTOR	wh_main_sc_vmp_vampire_counts
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionWoodElves	ACTOR	wh_dlc05_sc_wef_wood_elves
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionWoodElves_&_Negative	ACTOR	wh_dlc05_sc_wef_wood_elves
diplomacy_FactionGroup_cult_of_manann_faction_&_OtherFactionWoodElves_&_Positive	ACTOR	wh_dlc05_sc_wef_wood_elves
