bonus_value_id	effect	special_ability_group
#effect_bonus_value_special_ability_group_junctions_tables;0;db/effect_bonus_value_special_ability_group_junctions_tables/hkrul_marienburg_supplement		
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	ovn_lore_sea
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	ovn_lore_sea_upgraded
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	ovn_lore_sea
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	ovn_lore_sea_upgraded
cost_percentage_mod	wh2_dlc16_effect_magic_cost_all_lores_enemy	ovn_lore_sea
cost_percentage_mod	wh2_dlc16_effect_magic_cost_all_lores_enemy	ovn_lore_sea_upgraded
target_intercept_range_mod	wh3_main_effect_spell_targeting_range_all	ovn_lore_sea
target_intercept_range_mod	wh3_main_effect_spell_targeting_range_all	ovn_lore_sea_upgraded
cost_percentage_mod	wh3_main_effect_wom_costs_overcast_percentage	ovn_lore_sea_upgraded
