bonus_value_id	effect	special_ability_group
#effect_bonus_value_special_ability_group_junctions_tables;0;db/effect_bonus_value_special_ability_group_junctions_tables/rhox_mar		
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	hkrul_mar_lore_tsien_tsin
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	hkrul_mar_lore_tsien_tsin_upgraded
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	hkrul_mar_lore_tsien_tsin
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	hkrul_mar_lore_tsien_tsin_upgraded
cost_percentage_mod	wh2_dlc16_effect_magic_cost_all_lores_enemy	hkrul_mar_lore_tsien_tsin
cost_percentage_mod	wh2_dlc16_effect_magic_cost_all_lores_enemy	hkrul_mar_lore_tsien_tsin_upgraded
cost_percentage_mod	wh3_main_effect_ability_wom_cost_pct_tzeentch_spells	hkrul_mar_lore_tsien_tsin
cost_percentage_mod	wh3_main_effect_ability_wom_cost_pct_tzeentch_spells	hkrul_mar_lore_tsien_tsin_upgraded
cost_percentage_mod	wh3_main_effect_wom_costs_overcast_percentage	hkrul_mar_lore_tsien_tsin_upgraded
target_intercept_range_mod	wh3_main_effect_spell_targeting_range_all	hkrul_mar_lore_tsien_tsin
target_intercept_range_mod	wh3_main_effect_spell_targeting_range_all	hkrul_mar_lore_tsien_tsin_upgraded
