invalid_target	special_ability
#special_ability_to_invalid_target_flags_tables;0;db/special_ability_to_invalid_target_flags_tables/hkrul_mar	
unit_is_large	hkrul_jk_pork
unit_is_large	hkrul_jk_corn
morale_is_higher_than_half_of_base_morale	hkrul_jk_politician
unit_is_not_commander_class	hkrul_jk_politician
on_a_platform	hkrul_mar_ability_bombard
flying_currently	hkrul_pg_hook
hp_replenish_cap_reached	wh_ability_hkrul_landship_shipbuilders_repair
flying_currently	hkrul_solkan_greatsword
on_a_platform	hkrul_solkan_greatsword
on_a_platform	hkrul_solkan_ring2
flying_currently	hkrul_egmond_amulet
unit_is_not_single_entity	hkrul_egmond_amulet
climbing	hkrul_mar_spell_tzeentch_treason_of_tzeentch
manning_equipment	hkrul_mar_spell_tzeentch_treason_of_tzeentch
on_a_platform	hkrul_mar_szeentch_tzeentchs_firestorm_upgraded
on_a_platform	hkrul_mar_szeentch_tzeentchs_firestorm
unit_is_large	hkrul_bard_music
cannot_perform_missile_attack	hkrul_elf_shot
flying_currently	hkrul_mar_ship
on_a_platform	hkrul_mar_ship
unit_is_not_commander_class	hkrul_jaan_bribe
unit_is_not_commander_class	hkrul_knot
unit_is_not_commander_class	hkrul_alicia_rose
unit_is_not_single_entity	hkrul_pg_hook
