invalid_target	special_ability
#special_ability_to_invalid_target_flags_tables;0;db/special_ability_to_invalid_target_flags_tables/hkrul_camille	
unit_is_out_fort	hkrul_dauphine_pal
climbing_manning_eq_on_platform	ovn_spell_sea_fishermans_eye
flying_unit	ovn_lore_passive_sea_legs
climbing_manning_eq_on_platform	ovn_spell_sea_fishermans_eye_mage
flying_currently	ovn_spell_sea_drowned_mans_face
flying_currently	ovn_spell_sea_drowned_mans_face_upgraded
flying_currently	ovn_spell_sea_wave_of_destruction
on_a_platform	ovn_spell_sea_wave_of_destruction
flying_currently	ovn_spell_sea_wave_of_destruction_upgraded
on_a_platform	ovn_spell_sea_wave_of_destruction_upgraded
flying_currently	ovn_spell_sea_animate_water
on_a_platform	ovn_spell_sea_animate_water
flying_currently	ovn_spell_sea_animate_water_upgraded
on_a_platform	ovn_spell_sea_animate_water_upgraded
flying_currently	ovn_spell_sea_fountain_of_life
flying_currently	ovn_spell_sea_fountain_of_life_upgraded
flying_currently	ovn_spell_sea_water_blast
on_a_platform	ovn_spell_sea_water_blast
flying_currently	ovn_spell_sea_water_blast_bound
on_a_platform	ovn_spell_sea_water_blast_bound
flying_currently	ovn_spell_sea_water_blast_mage_upgraded
on_a_platform	ovn_spell_sea_water_blast_mage_upgraded
unit_is_large	hkrul_mar_rusty
