key	max_indent	min_indent	order	agent_subtype_override	col_hex
#character_skill_categories_tables;2;db/character_skill_categories_tables/hkrul_mar					
hkrul_pg_line1	0	0	1	hkrul_pg	B1910F
hkrul_pg_line2	1	1	1	hkrul_pg	14447F
hkrul_jk_line1	0	0	1	hkrul_jk	B1910F
hkrul_jk_line2	1	1	1	hkrul_jk	14447F
hkrul_jk_line3	2	2	1	hkrul_jk	B36D1D
hkrul_hendrik_line1	0	0	1	hkrul_hendrik	B1910F
hkrul_hendrik_line2	1	1	1	hkrul_hendrik	164B8B
hkrul_solkan_line1	0	0	1	hkrul_solkan	4A4A4A
hkrul_solkan_line2	1	1	1	hkrul_solkan	E0CD67
hkrul_caravan_line1	1	1	1	mar_caravan_master	10337F
hkrul_egmond_line1	1	1	1	hkrul_mar_egmond	AAAAFF
hkrul_egmond_line2	0	0	1	hkrul_mar_egmond	00AA7F
hkrul_egmond_line3	2	2	1	hkrul_mar_egmond	FF98F1
hkrul_mundvard_line1	1	1	1	hkrul_mar_munvard	B0DDFF
hkrul_mundvard_line2	0	0	1	hkrul_mar_munvard	55007F
hkrul_crispijn_line1	1	1	1	hkrul_crispijn	C8C8C8
hkrul_crispijn_line2	0	0	1	hkrul_crispijn	3482FF
hkrul_guzunda_line1	1	1	1	hkrul_guzunda	083188
hkrul_guzunda_line2	0	0	1	hkrul_guzunda	950000
hkrul_alicia_line1	1	1	1	hkrul_alicia	9CEAFF
hkrul_alicia_line2	0	0	0	hkrul_alicia	5B007F
hkrul_lisette_line1	1	1	1	hkrul_lisette	635C59
hkrul_lisette_line2	0	0	0	hkrul_lisette	FFDD98
hkrul_cross_line1	1	1	1	hkrul_cross	FFC745
hkrul_cross_line2	0	0	0	hkrul_cross	18635D
hkrul_jk_line4	3	3	1	hkrul_jk	7F0000
