ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/hkrul_mar	
hkrul_mar_ability_bombard	wh2_main_all_good_against_armour
hkrul_mar_ability_bombard	wh2_main_spell_small_wind
hkrul_pg_bomb	wh_dlc08_direct_damage_medium_unit
hkrul_pg_bomb	wh_main_all_direct_damage
hkrul_elf_buff	wh3_main_ability_intensity_kills
hkrul_mar_scourge	wh3_main_ability_intensity_kills
hkrul_solkan_ring2	hkrul_mar_solkan_illusion
hkrul_solkan_ring2	wh2_dlc10_all_summon_no_damage
hkrul_mar_fooger_backing	wh3_dlc20_ability_intensity_time_in_melee
hkrul_solkan_scales	wh3_main_ability_intensity_kills
hkrul_mundvard_ability_sword_wsoran	hkrul_mar_summon_cairn_wraiths
hkrul_mundvard_ability_sword_wsoran	wh_dlc04_all_summon_melee_expert
hkrul_mundvard_ability_sword_wsoran	wh_main_all_direct_damage_unbinding
hkrul_mar_helm	wh2_dlc13_invulnerability
hkrul_mar_ship	wh2_main_spell_medium_wind
hkrul_mar_ship	wh_main_all_strong_against_units
hkrul_mar_ship	wh_main_all_weak_against_single
hkrul_mar_shield_manann	wh3_dlc20_ability_intensity_time_in_melee
hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch_upgraded	wh3_main_projectile_requires_line_of_sight
hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch_upgraded	wh_main_all_good_vs_large
hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch_upgraded	wh_main_spell_upgraded_ap_damage
hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch	wh3_main_projectile_requires_line_of_sight
hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch	wh_main_all_good_vs_large
hkrul_mar_flock	wh3_dlc20_ability_intensity_nearby_deaths
hkrul_mar_stevedore	wh2_dlc15_all_increased_knockback
hkrul_manann_bombardment	wh2_dlc12_spell_friendly_fire_aoe
hkrul_manann_bombardment	wh2_main_all_magical_damage_moderate
hkrul_manann_bombardment	wh2_main_all_weak_against_armour
hkrul_manann_bombardment	wh_main_all_weak_against_single
hkrul_manann_bombardment	wh_main_bombardment_large_strike_aoe
hkrul_manann_bombardment	wh_main_spell_upgraded_projectiles
hkrul_manann_trident	wh_main_spell_upgraded_duration
hkrul_manann_shield	wh_main_spell_upgraded_duration
hkrul_whale	wh3_dlc20_ability_intensity_time_in_melee
hkrul_manann_shield	wh_dlc07_spell_ignores_ap
