ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/hkrul_camille	
hkrul_dauphine_helm	wh_main_all_replenish_burst
ovn_spell_sea_fishermans_eye	ovn_summon_augas_swarm
ovn_spell_sea_fishermans_eye	wh_main_all_direct_damage_unbinding
ovn_spell_sea_water_blast_upgraded	wh2_main_all_magical_damage_moderate
ovn_spell_sea_water_blast_upgraded	wh2_main_all_weak_against_armour
ovn_spell_sea_water_blast_upgraded	wh_main_all_can_disrupt_formation
ovn_spell_sea_water_blast_upgraded	wh_main_spell_upgraded_ap_damage_ranged
ovn_spell_sea_water_blast_upgraded	wh_main_vortex_large_breath
ovn_spell_sea_water_blast_mage_upgraded	wh2_main_all_magical_damage_moderate
ovn_spell_sea_water_blast_mage_upgraded	wh2_main_all_weak_against_armour
ovn_spell_sea_water_blast_mage_upgraded	wh_main_all_can_disrupt_formation
ovn_spell_sea_water_blast_mage_upgraded	wh_main_spell_upgraded_ap_damage_ranged
ovn_spell_sea_water_blast_mage_upgraded	wh_main_vortex_large_breath
ovn_spell_sea_fishermans_eye_mage	ovn_summon_augas_swarm
ovn_spell_sea_fishermans_eye_mage	wh_main_all_direct_damage_unbinding
ovn_spell_sea_drowned_mans_face_upgraded	wh_main_spell_upgraded_melee_attack
ovn_spell_sea_wave_of_destruction_upgraded	wh2_main_all_magical_damage_massive
ovn_spell_sea_wave_of_destruction_upgraded	wh2_main_spell_medium_wind
ovn_spell_sea_wave_of_destruction_upgraded	wh_main_all_strong_against_units
ovn_spell_sea_wave_of_destruction_upgraded	wh_main_all_weak_against_single
ovn_spell_sea_wave_of_destruction_upgraded	wh_main_spell_upgraded_ap_damage
ovn_spell_sea_wave_of_destruction	wh2_main_all_magical_damage_massive
ovn_spell_sea_wave_of_destruction	wh2_main_spell_medium_wind
ovn_spell_sea_wave_of_destruction	wh_main_all_strong_against_units
ovn_spell_sea_wave_of_destruction	wh_main_all_weak_against_single
ovn_spell_sea_animate_water_upgraded	wh2_main_all_good_against_armour
ovn_spell_sea_animate_water_upgraded	wh2_main_all_magical_damage_moderate
ovn_spell_sea_animate_water_upgraded	wh2_main_spell_stationary_aoe
ovn_spell_sea_animate_water_upgraded	wh_main_all_can_disrupt_formation
ovn_spell_sea_animate_water_upgraded	wh_main_all_strong_against_units
ovn_spell_sea_animate_water_upgraded	wh_main_spell_upgraded_duration
ovn_spell_sea_animate_water	wh2_main_all_good_against_armour
ovn_spell_sea_animate_water	wh2_main_all_magical_damage_moderate
ovn_spell_sea_animate_water	wh2_main_spell_stationary_aoe
ovn_spell_sea_animate_water	wh_main_all_can_disrupt_formation
ovn_spell_sea_animate_water	wh_main_all_strong_against_units
ovn_spell_sea_water_blast	wh2_main_all_magical_damage_moderate
ovn_spell_sea_water_blast	wh2_main_all_weak_against_armour
ovn_spell_sea_water_blast	wh_main_all_can_disrupt_formation
ovn_spell_sea_water_blast	wh_main_vortex_large_breath
ovn_lore_passive_sea_legs	wh_dlc05_spell_trigger_when_casting
