effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/hkrul_mar					
hkrul_pg_enable_attribute_fear_vs_norsca	attribute_causes_fear.png	88	attribute_causes_fear.png	battle	true
hkrul_enable_immortality		0		campaign	true
hkrul_pg_pilgrims_leadership		0		campaign	false
hkrul_pg_enable_horsekeeper		0		campaign	true
hkrul_mar_klumpf_ws	weapon_damage.png	800	weapon_damage.png	campaign	true
hkrul_mar_klumpf_upkeep	military_spending.png	800	military_spending.png	campaign	false
hkrul_hendrik_upkeep	military_spending.png	800	military_spending.png	campaign	false
hkrul_mar_klumpf_cap	melee.png	800	melee.png	campaign	true
hkrul_mar_pion_cap_vis	resistance_physical.png	800	resistance_physical.png	campaign	true
hkrul_mar_carriers_cap	treasury.png	800	treasury.png	campaign	true
hkrul_mar_carriers_commander	treasury.png	800	treasury.png	campaign	true
hkrul_mar_carriers_phys	resistance_physical.png	800	resistance_physical.png	campaign	true
hkrul_mar_carriers_armour	armour.png	800	armour.png	campaign	true
hkrul_mar_carriers_xp	experience.png	800	experience.png	campaign	true
hkrul_mar_pion_cap		0		campaign	true
copycat_leadership_per_trade_agreement	morale.png	99	morale.png	battle	true
hkrul_mar_cost_ports	treasury.png	91	treasury.png	campaign	false
hkrul_mar_time_ports	construction.png	91	construction.png	campaign	false
hkrul_mar_cost_resource_building	treasury.png	91	treasury.png	campaign	false
hkrul_mar_movement_range_enemy	campaign_movement.png	33	campaign_movement.png	campaign	false
hkrul_mar_resource_spices	resource_spices.png	11	resource_spices.png	campaign	true
hkrul_mar_resource_salt	income.png	91	income.png	campaign	true
hkrul_mar_skeggi	diplomacy.png	91	diplomacy.png	campaign	true
hkrul_mar_elasor	diplomacy.png	91	diplomacy.png	campaign	true
hkrul_mar_global	diplomacy.png	91	diplomacy.png	campaign	true
hkrul_mar_tilea	diplomacy.png	91	diplomacy.png	campaign	true
hkrul_mar_estalia	diplomacy.png	91	diplomacy.png	campaign	true
hkrul_mar_averland	diplomacy.png	91	diplomacy.png	campaign	true
hkrul_mar_ostland	diplomacy.png	91	diplomacy.png	campaign	true
hkrul_mar_post_battle_sea	income.png	120	income.png	campaign	true
hkrul_mar_xp_gain_sea	experience.png	120	experience.png	campaign	true
hkrul_mar_md_sea	defence.png	120	defence.png	battle	true
hkrul_jk_enable_pork	item_ability.png	300	item_ability.png	battle	true
hkrul_pg_enable_hook	item_ability.png	300	item_ability.png	battle	true
hkrul_pg_enable_cutlass	item_ability.png	300	item_ability.png	battle	true
hkrul_jk_enable_corn	item_ability.png	300	item_ability.png	battle	true
hkrul_hendrik_enable_pelican	item_ability.png	300	item_ability.png	battle	true
hkrul_pg_enable_bomb	item_ability.png	300	item_ability.png	battle	true
hkrul_hendrik_enable_faith	item_ability.png	300	item_ability.png	battle	true
hkrul_jk_enable_kislev	item_ability.png	300	item_ability.png	battle	true
hkrul_hendrik_enable_bargain	item_ability.png	300	item_ability.png	battle	true
hkrul_jk_enable_norsca	item_ability.png	300	item_ability.png	battle	true
hkrul_mar_enable_army_bombard	item_ability.png	300	item_ability.png	battle	true
hkrul_hendrik_enable_letter	item_ability.png	300	item_ability.png	battle	true
hkrul_jk_enable_politician	item_ability.png	300	item_ability.png	battle	true
hkrul_hendrik_enable_gold	item_ability.png	300	item_ability.png	battle	true
hkrul_jk_enable_slippery	item_ability.png	300	item_ability.png	battle	true
hkrul_mar_political_cost	treasury.png	91	treasury.png	campaign	false
hkrul_mar_political_change	diplomacy.png	91	diplomacy.png	campaign	true
hkrul_mar_political_change_2	diplomacy.png	91	diplomacy.png	campaign	true
hkrul_mar_pion_ma	melee.png	151	melee.png	campaign	true
hkrul_mar_pion_sartosa	defence.png	151	defence.png	campaign	true
hkrul_mar_pion_sartosa_morale	morale.png	151	morale.png	campaign	true
