id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/rhox_mar			
1938200437	475	wh_main_emp_inf_crossbowmen	rhox_mar_emp_defence_major_2
1938200438	550	hkrul_mar_cav_rijders	rhox_mar_emp_defence_minor_2
1938200439	550	wh_main_emp_inf_halberdiers	rhox_mar_emp_defence_major_3
1938200440	550	hkrul_mar_cav_rijders	rhox_mar_emp_defence_major_1
1938200441	550	wh_main_emp_inf_halberdiers	rhox_mar_emp_defence_minor_2
1938200442	850	hkrul_mar_sons_of_manann	rhox_mar_emp_defence_major_3
1938200443	550	wh_main_emp_inf_halberdiers	rhox_mar_emp_defence_minor_1
1938200444	550	wh_main_emp_inf_halberdiers	rhox_mar_emp_defence_minor_2
1938200445	550	wh_main_emp_inf_halberdiers	rhox_mar_emp_defence_major_3
1938200446	900	hkrul_mar_inf_greatsword	rhox_mar_emp_defence_major_3
1938200447	475	wh_main_emp_inf_crossbowmen	rhox_mar_emp_defence_minor_2
1938200448	550	wh_main_emp_inf_halberdiers	rhox_mar_emp_defence_minor_1
1938200449	550	wh_main_emp_inf_halberdiers	rhox_mar_emp_defence_major_2
1938200450	475	wh_main_emp_inf_crossbowmen	rhox_mar_emp_defence_minor_1
1938200451	475	wh_main_emp_inf_crossbowmen	rhox_mar_emp_defence_minor_2
1938200452	475	wh_main_emp_inf_crossbowmen	rhox_mar_emp_defence_major_1
1938200453	475	wh_main_emp_inf_crossbowmen	rhox_mar_emp_defence_major_3
1938200454	475	wh_main_emp_inf_crossbowmen	rhox_mar_emp_defence_major_3
1938200455	650	hkrul_mar_culverin	rhox_mar_emp_defence_major_3
1938200456	475	wh_main_emp_inf_crossbowmen	rhox_mar_emp_defence_major_2
1938200457	550	wh_main_emp_inf_halberdiers	rhox_mar_emp_defence_major_2
1938200458	550	hkrul_mar_cav_rijders	rhox_mar_emp_defence_major_2
1938200459	550	wh_main_emp_inf_halberdiers	rhox_mar_emp_defence_major_1
1938200460	475	wh_main_emp_inf_crossbowmen	rhox_mar_emp_defence_minor_1
1938200461	650	wh_main_emp_art_mortar	rhox_mar_emp_defence_major_2
1938200462	475	wh_main_emp_inf_crossbowmen	rhox_mar_emp_defence_major_1
1938200463	200	hkrul_mar_inf_goedendagers	rhox_mar_emp_inf_goedendagers
1938200464	300	wh_main_emp_inf_crossbowmen	rhox_mar_emp_inf_crossbowmen
1938200465	500	hkrul_mar_inf_greatsword	rhox_mar_emp_inf_greatswords
1938200466	400	hkrul_mar_handguns	rhox_mar_emp_inf_handgunners
1938200467	650	hkrul_mar_culverin	rhox_mar_rijker_garrison
1938200468	550	wh_main_emp_inf_halberdiers	rhox_mar_rijker_garrison
1938200469	550	wh_main_emp_inf_halberdiers	rhox_mar_rijker_garrison
1938200470	400	hkrul_mar_inf_handgun	rhox_mar_rijker_garrison
1938200471	400	hkrul_mar_inf_handgun	rhox_mar_rijker_garrison
1938200472	850	hkrul_mar_sons_of_manann	rhox_mar_rijker_garrison
1938200473	900	hkrul_mar_inf_greatsword	rhox_mar_rijker_garrison
1938200474	500	hkrul_mar_riverwarden	rhox_mar_eilhart_garrison
1938200475	500	hkrul_mar_riverwarden	rhox_mar_eilhart_garrison
