id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/!snek_hkrul_marienburg_landship			
45634564	999	snek_hkrul_mar_landship	snek_hkrul_mar_landship
45634565	999	snek_hkrul_mar_ror_landship	snek_hkrul_mar_ror_landship
45634566	900	hkrul_mar_defenders	hkrul_mar_defenders
45634567	525	hkrul_mar_black_caps	hkrul_mar_goedendagers
45634568	155	wh3_dlc20_chs_inf_chaos_warriors_mtze	hkrul_mar_bechai
45634576	155	wh3_dlc20_chs_inf_chaos_warriors_mtze	hkrul_mar_bechai
45634577	500	hkrul_privateers_dual_swords	hkrul_mar_marienburg_port_1
45634569	500	hkrul_privateers_dual_swords	hkrul_mar_marienburg_port_1
45634570	500	hkrul_privateers_dual_swords	hkrul_mar_marienburg_port_2
45634571	500	hkrul_privateers_dual_swords	hkrul_mar_marienburg_port_2
45634572	750	hkrul_privateers	hkrul_mar_marienburg_port_2
45634573	750	hkrul_privateers	hkrul_mar_marienburg_port_3
45634574	750	hkrul_privateers	hkrul_mar_marienburg_port_3
45634575	500	hkrul_privateers_dual_swords	hkrul_mar_marienburg_port_3
