key	mission_type	localised_title	localised_description	ui_image	ui_icon	generate	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	quest_mission_final	trigger_radius	quest_character	sticky_by_default	localised_mission_completed_text	can_be_manually_cancelled
#missions_tables;0;db/missions_tables/hkrul_mar																		
hkrul_mar_hendrik1	SCRIPTED			emp/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		true		false
hkrul_mar_solkan1	SCRIPTED			emp/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		true		false
hkrul_mar_jk_follower_1	SCRIPTED			emp/generic	rom_event_mission.png	false	false	piece_of_eight		0	0	false	false	0.0000		true		false
hkrul_mar_jk_follower_2	SCRIPTED			emp/generic	rom_event_mission.png	false	false	piece_of_eight		0	0	false	false	0.0000		true		false
hkrul_mar_jk_follower_3	SCRIPTED			emp/generic	rom_event_mission.png	false	false	piece_of_eight		0	0	false	false	0.0000		true		false
hkrul_mar_jk_follower_4	SCRIPTED			emp/generic	rom_event_mission.png	false	false	piece_of_eight		0	0	false	false	0.0000		true		false
hkrul_mar_jk_follower_5	SCRIPTED			emp/generic	rom_event_mission.png	false	false	piece_of_eight		0	0	false	false	0.0000		true		false
rhox_mar_conquer_empire	CONSTRUCT_N_BUILDINGS_INCLUDING			emp/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		true		false
rhox_mar_conquer_marien	CONSTRUCT_N_BUILDINGS_INCLUDING			emp/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		true		false
rhox_mar_conquer_beichai	SCRIPTED			generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		true		false
rhox_mar_war_on_empire	SCRIPTED			generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		true		false
rhox_mar_cousin_alliance	MAKE_ALLIANCE			generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		true		false
hkrul_mar_jk_follower_6	SCRIPTED			emp/generic	rom_event_mission.png	false	false	piece_of_eight		0	0	false	false	0.0000		true		false
hkrul_mar_jk_follower_7	SCRIPTED			emp/generic	rom_event_mission.png	false	false	piece_of_eight		0	0	false	false	0.0000		true		false
rhox_mar_embassy	SCRIPTED			emp/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		true		false
rhox_mar_bridge_reik	SCRIPTED			emp/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		true		false
rhox_mar_araby_brethern	SCRIPTED			emp/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		true		false
rhox_mar_exiled_chieftain	SCRIPTED			emp/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		true		false
rhox_mar_pg	SCRIPTED			emp/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		true		false
rhox_egmond_aekold_helbrass_stage_1	CONSTRUCT_N_BUILDINGS_INCLUDING	A Tale of the True Path	Word has spread of a noble’s son, a once-great Knight of the Empire, who roams the Chaos Wastes in search of a greater purpose. Most remarkably he bears the insignia of a Tzeentchian cult, the Brethren of the Golden Eagle. His loyalties had him pursued doggedly for a time by the Templars of Sigmar, the Empire’s Witch Hunters, but once they caught up he proved his status as the greatest swordsman in his Knightly Order. Perhaps in time this Champion-in-the-making will make his way to us, but in the meantime we must ensure there are more like-minded warriors to help him embrace Chaos.	emp/generic	rom_event_mission.png	false	false	Quest		0	0	true	false	0.0000		true		false
