ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/hkrul_mar			
hkrul_mar_coin	wh_main_effect_attribute_enable_immune_to_psychology	character_to_character_own	1.0000
hkrul_mar_coin	wh_main_effect_character_stat_ward_save	character_to_character_own	15.0000
hkrul_mar_coin	wh_main_effect_character_mod_ancillary_drop	character_to_character_own	35.0000
hkrul_mar_coin	hkrul_jk_enable_slippery	character_to_character_own	1.0000
hkrul_mar_anc_bodyguard	wh2_main_effect_force_stat_melee_defence_lords_heroes	character_to_force_own	12.0000
hkrul_mar_anc_bodyguard	wh2_main_effect_force_stat_melee_attack_lords_heroes	character_to_force_own	12.0000
hkrul_mar_anc_araby	wh_main_effect_region_resource_gem_production	character_to_region_own	8.0000
hkrul_mar_anc_araby	wh2_dlc09_effect_force_army_campaign_attrition_desert_immunity	character_to_force_own	1.0000
hkrul_mar_anc_araby	wh_main_effect_economy_trade_tariff_mod	character_to_faction_unseen	2.0000
hkrul_mar_anc_norscan	hkrul_pg_enable_attribute_fear_vs_norsca	character_to_force_own	1.0000
hkrul_mar_anc_norscan	hkrul_mar_diplo_world	character_to_faction_unseen	25.0000
hkrul_mar_anc_stadsraad	wh_main_effect_public_order_characters	character_to_province_own	4.0000
hkrul_mar_anc_stadsraad	wh_main_effect_province_growth_characters	character_to_province_own	20.0000
hkrul_mar_anc_stadsraad	wh_main_effect_building_construction_time_mod_settlement	character_to_region_own	-2.0000
hkrul_mar_anc_sander	wh_main_effect_character_mod_ancillary_steal	character_to_character_own	35.0000
hkrul_mar_anc_sander	wh_main_effect_force_all_campaign_sacking_income	character_to_character_own	10.0000
hkrul_mar_scheldt	wh_main_effect_region_resource_salt_production	character_to_region_own	10.0000
hkrul_mar_scheldt	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0000
hkrul_mar_scheldt	hkrul_mar_resource_salt	character_to_region_own_provincewide	35.0000
hkrul_mar_nijmenk	wh_main_effect_region_resource_furs_production	character_to_region_own	15.0000
hkrul_mar_nijmenk	wh3_main_effect_allegiance_points_mod_kislev	character_to_faction	25.0000
hkrul_mar_nijmenk	hkrul_mar_diplo_middenland	character_to_faction_unseen	25.0000
hkrul_mar_fooger	wh_main_effect_region_resource_beer_production	character_to_region_own	10.0000
hkrul_mar_fooger	wh_main_effect_region_resource_iron_production	character_to_region_own	5.0000
hkrul_mar_roelef	wh_main_effect_region_resource_spices_production	character_to_region_own	10.0000
hkrul_mar_roelef	hkrul_mar_mod_diplo_teb	character_to_faction_unseen	15.0000
hkrul_mar_roelef	hkrul_mar_mod_favour_teb	character_to_faction	25.0000
hkrul_mar_rothemuur	wh2_main_faction_political_diplomacy_mod_high_elves	character_to_faction_unseen	10.0000
hkrul_mar_rothemuur	wh_main_effect_region_resource_trinkets_production	character_to_region_own	5.0000
hkrul_mar_rothemuur	wh_main_effect_economy_trade_tariff_mod	character_to_faction_unseen	4.0000
hkrul_mar_jk_hat	hkrul_jk_enable_hat	character_to_character_own	1.0000
hkrul_mar_jk_hat	wh_main_effect_character_stat_ward_save	character_to_character_own	5.0000
hkrul_mar_jk_hat	wh_main_effect_character_stat_armour	character_to_character_own	5.0000
hkrul_mar_frost_globe	hkrul_enable_mar_frost_globe	character_to_character_own	1.0000
hkrul_mar_frost_globe	wh_dlc08_effect_character_stat_enable_frostbite_attacks	character_to_character_own	1.0000
hkrul_mar_hakim	wh2_dlc10_effect_character_stat_enable_sundering_attacks	character_to_character_own	1.0000
hkrul_mar_hakim	wh2_main_effect_force_stat_melee_attack_lords_heroes	character_to_force_own	8.0000
hkrul_solkan_item_greatsword	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
hkrul_solkan_item_greatsword	wh_main_effect_character_stat_ap_damage	character_to_character_own	25.0000
hkrul_solkan_item_greatsword	wh3_main_effect_corruption_reduction_characters	character_to_province_any	-3.0000
hkrul_solkan_item_greatsword	hkrul_solkan_enable_greatsword	character_to_character_own	1.0000
hkrul_solkan_ring	wh_main_effect_character_stat_magic_resistance	character_to_character_own	25.0000
hkrul_solkan_ring	hkrul_solkan_enable_ring2	character_to_character_own	1.0000
hkrul_mar_black_cap	hkrul_mar_black_caps_md	agent_to_parent_army_own	8.0000
hkrul_mar_black_cap	hkrul_mar_black_caps_bonus_vs_inf	agent_to_parent_army_own	8.0000
hkrul_mar_tze_amulet	wh3_main_effect_corruption_tzeentch_characters	character_to_province_any	2.0000
hkrul_mar_tze_amulet	hkrul_egmond_enable_amulet	character_to_character_own	1.0000
hkrul_egmond_katana	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
hkrul_egmond_katana	hkrul_egmond_enable_katana	character_to_character_own	1.0000
hkrul_mar_egmond_nippon	hkrul_mar_enable_egmond_rice	character_to_force_own	1.0000
hkrul_mar_egmond_nippon	wh_main_effect_province_growth_characters	character_to_province_own	15.0000
hkrul_mar_thijs	wh_main_effect_technology_research_points	character_to_faction_unseen	10.0000
hkrul_mar_thijs	wh2_dlc17_effect_ability_enable_rowdy	character_to_character_own	1.0000
hkrul_mar_thijs	hkrul_mar_thijs_recruit	character_to_force_own_unseen	2.0000
hkrul_mar_leo	hkrul_mar_carriers_cap	character_to_faction_unseen	1.0000
hkrul_mar_leo	wh3_main_effect_caravan_cargo_capacity	character_to_character_own_factionwide	10.0000
