bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/hkrul_camille		
xp_gain_rate_mod	hkrul_xp_gain_manann	hkrul_mar_manann
melee_attack_mod	hkrul_melee_attack_manann	hkrul_mar_manann
cost_mod	hkrul_recruitment_cost_manann	hkrul_mar_manann
melee_defence_mod	hkrul_melee_attack_fooger	hkrul_fooger_dwarves_faction
xp_gain_rate_mod	hkrul_xp_gain_fooger	hkrul_fooger_dwarves_faction
upkeep_mod	hkrul_upkeep_fooger	hkrul_fooger_dwarves_faction
charge_add	hkrul_charge_manann_fanatic	hkrul_fanatics
upkeep_mod	hkrul_upkeep_fanatic	hkrul_fanatics
unit_xp_mod	hkrul_recruit_rank_fanatic	hkrul_fanatics
unit_damage_resistance_missile_mod	hkrul_missile_resistance_fanatic	hkrul_fanatics
mod_land_movement_battle	hkrul_speed_fanatic	hkrul_fanatics
global_recruit_time_mod	hkrul_turns_fanatics_manann	hkrul_fanatics
global_recruit_time_mod	hkrul_turns_cult_manann	hkrul_mar_manann
unit_cap	hkrul_mariners_knights_cap	hkrul_mariners_knights
melee_attack_mod	hkrul_mar_fish_attack	hkrul_mar_fish
melee_defence_mod	hkrul_mar_fish_defence	hkrul_mar_fish
