unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/rhox_fooger					
			hkrul_mar_fooger_qual	emp_all	false
			hkrul_mar_fooger_qual	emp_infantry	false
			hkrul_mar_fooger_qual	emp_melee_infantry_tier_1	false
			hkrul_mar_fooger_qual	emp_state_troops	false
			hkrul_mar_fooger_qual	emp_swords	false
			hkrul_mar_fooger_qual	mp_cap_unit_emp_inf_swordsmen_0	false
			hkrul_mar_fooger_qual	wh2_dlc11_emp_spearmen_swordsmen_flagellants_halberdiers	false
			hkrul_mar_fooger_qual	wh2_dlc11_emp_vets_spearmen_swordsmen_flagellants_huntsmen_empire_knights	false
			hkrul_mar_fooger_qual_great	emp_all	false
			hkrul_mar_fooger_qual_great	emp_crossbow	false
			hkrul_mar_fooger_qual_great	emp_infantry	false
			hkrul_mar_fooger_qual_great	emp_state_troops	false
			hkrul_mar_fooger_qual_great	mp_cap_unit_emp_inf_crossbowmen	false
			hkrul_mar_fooger_qual_great	wh2_dlc11_emp_free_company_crossbowmen_huntsmen_archers_handgunners_pistoliers_outriders	false
			hkrul_mar_fooger_qual_great	wh2_dlc11_emp_vets_free_company_crossbowmen_huntsmen_archers_handgunners_pistoliers_outriders	false
			hkrul_mar_fooger_qual_great	dwarf_all_units_exclude_slayers	false
			hkrul_mar_fooger_qual	dwarf_all_units_exclude_slayers	false
			hkrul_mar_fooger_qual	rhox_mar_melee	false
			hkrul_mar_fooger_qual_great	rhox_mar_ranged	false
			rhox_fooger_wh_main_dwf_inf_miners_0	all_units_excluding_guerrilla_deployment	true
			rhox_fooger_wh_main_dwf_inf_miners_0	dwarf_all_units_exclude_slayers	false
			rhox_fooger_wh_main_dwf_inf_miners_0	dwf_all_units_characters	false
			rhox_fooger_wh_main_dwf_inf_miners_0	dwf_infantry	false
			rhox_fooger_wh_main_dwf_inf_miners_0	dwf_melee_infantry	false
			rhox_fooger_wh_main_dwf_inf_miners_0	dwf_miners	false
			rhox_fooger_wh_main_dwf_inf_miners_0	dwf_wpn_picks	false
			rhox_fooger_wh_main_dwf_inf_miners_0	mp_cap_unit_dwf_inf_miners_0	false
			rhox_fooger_wh_main_dwf_inf_miners_0	wh2_dlc11_dwf_miners_warriors_longbeards	false
			rhox_fooger_wh_main_dwf_inf_miners_0	wh2_dlc11_dwf_vets_miners_warriors_longbeards	false
			rhox_fooger_wh_main_dwf_inf_miners_0	wh2_dlc17_dwf_miners_longbeard_great_weapons	false
			rhox_fooger_wh_main_dwf_inf_miners_1	all_units_excluding_guerrilla_deployment	true
			rhox_fooger_wh_main_dwf_inf_miners_1	dwarf_all_units_exclude_slayers	false
			rhox_fooger_wh_main_dwf_inf_miners_1	dwf_all_units_characters	false
			rhox_fooger_wh_main_dwf_inf_miners_1	dwf_infantry	false
			rhox_fooger_wh_main_dwf_inf_miners_1	dwf_melee_infantry	false
			rhox_fooger_wh_main_dwf_inf_miners_1	dwf_miners	false
			rhox_fooger_wh_main_dwf_inf_miners_1	dwf_wpn_picks	false
			rhox_fooger_wh_main_dwf_inf_miners_1	mp_cap_unit_dwf_inf_miners_1	false
			rhox_fooger_wh_main_dwf_inf_miners_1	wh2_dlc11_dwf_miners_warriors_longbeards	false
			rhox_fooger_wh_main_dwf_inf_miners_1	wh2_dlc11_dwf_vets_miners_warriors_longbeards	false
			rhox_fooger_wh_main_dwf_inf_miners_1	wh2_dlc17_dwf_miners_longbeard_great_weapons	false
			rhox_fooger_wh_main_dwf_inf_miners_0	emp_melee_infantry_tier_1	false
			rhox_fooger_wh_main_dwf_inf_miners_0	emp_swords	false
			rhox_fooger_wh_main_dwf_inf_miners_0	emp_all	false
			rhox_fooger_wh_main_dwf_inf_miners_0	emp_infantry	false
			rhox_fooger_wh_main_dwf_inf_miners_0	emp_state_troops	false
			rhox_fooger_wh_main_dwf_inf_miners_0	rhox_mar_melee	false
			rhox_fooger_wh_main_dwf_inf_miners_1	emp_melee_infantry_tier_1	false
			rhox_fooger_wh_main_dwf_inf_miners_1	emp_swords	false
			rhox_fooger_wh_main_dwf_inf_miners_1	emp_all	false
			rhox_fooger_wh_main_dwf_inf_miners_1	emp_infantry	false
			rhox_fooger_wh_main_dwf_inf_miners_1	emp_state_troops	false
			rhox_fooger_wh_main_dwf_inf_miners_1	rhox_mar_melee	false
			rhox_fooger_wh_main_dwf_inf_longbeards	all_units_excluding_immune_to_psychology	true
			rhox_fooger_wh_main_dwf_inf_longbeards	dwarf_all_units_exclude_slayers	false
			rhox_fooger_wh_main_dwf_inf_longbeards	dwf_all_units_characters	false
			rhox_fooger_wh_main_dwf_inf_longbeards	dwf_infantry	false
			rhox_fooger_wh_main_dwf_inf_longbeards	dwf_longbeards	false
			rhox_fooger_wh_main_dwf_inf_longbeards	dwf_melee_infantry	false
			rhox_fooger_wh_main_dwf_inf_longbeards	dwf_shield_units	false
			rhox_fooger_wh_main_dwf_inf_longbeards	dwf_wpn_handweapon	false
			rhox_fooger_wh_main_dwf_inf_longbeards	mp_cap_unit_dwf_inf_longbeards_0	false
			rhox_fooger_wh_main_dwf_inf_longbeards	wh2_dlc11_dwf_miners_warriors_longbeards	false
			rhox_fooger_wh_main_dwf_inf_longbeards	wh2_dlc11_dwf_vets_miners_warriors_longbeards	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	all_units_excluding_immune_to_psychology	true
			rhox_fooger_wh_main_dwf_inf_longbeards_1	dwarf_all_units_exclude_slayers	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	dwf_all_units_characters	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	dwf_infantry	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	dwf_longbeards	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	dwf_melee_infantry	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	dwf_wpn_greataxe	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	mp_cap_unit_dwf_inf_longbeards_1	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	wh2_dlc11_dwf_miners_warriors_longbeards	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	wh2_dlc11_dwf_vets_miners_warriors_longbeards	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	wh2_dlc17_dwf_miners_longbeard_great_weapons	false
			rhox_fooger_wh_main_dwf_inf_longbeards	emp_melee_infantry_tier_1	false
			rhox_fooger_wh_main_dwf_inf_longbeards	emp_swords	false
			rhox_fooger_wh_main_dwf_inf_longbeards	emp_all	false
			rhox_fooger_wh_main_dwf_inf_longbeards	emp_infantry	false
			rhox_fooger_wh_main_dwf_inf_longbeards	emp_state_troops	false
			rhox_fooger_wh_main_dwf_inf_longbeards	rhox_mar_melee	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	emp_melee_infantry_tier_1	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	emp_swords	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	emp_all	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	emp_infantry	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	emp_state_troops	false
			rhox_fooger_wh_main_dwf_inf_longbeards_1	rhox_mar_melee	false
			rhox_fooger_wh_main_dwf_inf_thunderers_0	dwarf_all_units_exclude_slayers	false
			rhox_fooger_wh_main_dwf_inf_thunderers_0	dwf_all_units_characters	false
			rhox_fooger_wh_main_dwf_inf_thunderers_0	dwf_blackpowder	false
