unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;6;db/main_units_tables/hkrul_camille																																													
hkrul_dauphine		-1	lord	1	false	hkrul_dauphine	1	0	600	wh_main_shp_transport	1	1	1	1250	304	medium		0	32350272	false	wh_main_vo_culture_Bretonnian	hkrul_mar_manann	0	true	emp_general_foot		true		400.0000	0.0000	true	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
hkrul_dauphine_1		-1	lord	1	false	hkrul_dauphine_1	1	0	900	wh_main_shp_transport	1	1	1	1300	355	medium		0	32350273	false	wh_main_vo_culture_Bretonnian	cavalry	0	true	emp_general_foot	hkrul_cam_manann_barded_warhorse	true		700.0000	0.0000	true	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
hkrul_dauphine_2		-1	lord	1	false	hkrul_dauphine_2	1	0	1500	wh_main_shp_transport	1	1	1	1650	400	heavy		0	32350274	false	wh_main_vo_culture_Bretonnian	lord_griffon	0	true	emp_general_foot	hkrul_cam_manann_griffon	true		1400.0000	0.0000	true	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
hkrul_dauphine_3		-1	lord	1	false	hkrul_dauphine_3	2	0	1750	wh_main_shp_transport	1	1	1	1650	425	heavy		0	32350275	false	wh_main_vo_culture_Bretonnian	mar_warrior_priest_magic_chariot	0	true	emp_soldier_15_degrees	ovn_cam_mnt_mar_altar_of_manann	true		1150.0000	0.0000	true	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
ovn_mar_mon_augas_fish_summoned_0		-1	war_beast	1	false	ovn_mar_mon_augas_fish_summoned_0	60	0	350	wh_main_shp_transport	1	1	60	350	88	heavy		0	32350273	false	wh2_dlc11_vo_culture_Rotting_Prometheans	wh2_dlc11_cst_promethean	1	false	cst_rotting_leviathon		false		350.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
ovn_mar_mon_augas_fish_summoned_1		-1	monster	1	false	ovn_mar_mon_augas_fish_summoned_1	1	0	1050	wh_main_shp_transport	1	1	60	1050	263	very_heavy		0	32350286	false	wh2_dlc11_vo_culture_Rotting_Leviathan	monster_generic	3	false	cst_rotting_leviathon		true		1400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	true	1	false
ovn_mar_cha_wizard_sea_0		-1	hero	1	false	ovn_mar_cha_wizard_sea_0	1	0	250	wh_main_shp_transport	1	1	1	1000	250	medium		0	32350274	false	wh_main_vo_culture_Empire	wizard_sea	0	true	default		true		250.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	2	false	false		0.0000	true	1	false
ovn_mar_cha_wizard_sea_1		-1	hero	1	false	ovn_mar_cha_wizard_sea_1	1	0	450	wh_main_shp_transport	1	1	1	1100	275	medium		0	32350275	false	wh_main_vo_culture_Empire	wizard_sea	0	true	default	wh_main_cam_mnt_emp_warhorse	true		450.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	2	false	false		0.0000	true	1	false
ovn_mar_cha_wizard_sea_2		-1	hero	1	false	ovn_mar_cha_wizard_sea_2	1	0	500	wh_main_shp_transport	1	1	1	1200	300	medium		0	32350276	false	wh_main_vo_culture_Empire	wizard_sea	0	true	default	wh_main_cam_mnt_emp_barded_warhorse	true		500.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	2	false	false		0.0000	true	1	false
hkrul_manann_flagellant		-1	melee_infantry	1	false	hkrul_manann_flagellant	120	0	600	wh_main_shp_transport	1	1	120	600	150	medium		0	32350277	true	wh_main_vo_culture_Empire	wh_dlc04_emp_flagelllents	2	false	emp_soldier_15_degrees		false		600.0000	0.0000	false	vo_culture_None	false	wh_dlc04_vo_actor_Empire_Inf	0	true	false	6	false	false		0.0000	true	1	false
chaos_whale_cst_kou		-1	monster	1	false	chaos_whale_cst_kou	1	0	5000	wh_main_shp_transport	1	1	1	2000	500	heavy		0	32350278	false	wh3_main_vo_culture_Tze_Screamer	wh3_main_tze_screamer	0	true	tze_screamers		true		2500.0000	0.0000	true	vo_culture_None	false	wh3_main_vo_actor_Khorne_Bloodthirster_Unit	0	false	true	5	false	false		0.0000	true	1	false
ovn_mar_mon_augas_fish_0		-1	war_beast	1	false	ovn_mar_mon_augas_fish_0	60	0	350	wh_main_shp_transport	1	1	60	350	88	heavy		0	32350279	false	wh2_dlc11_vo_culture_Rotting_Prometheans	wh2_dlc11_cst_promethean	1	false	cst_rotting_leviathon		false		350.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
ovn_mar_mon_augas_fish_1		-1	monster	1	false	ovn_mar_mon_augas_fish_1	1	0	1050	wh_main_shp_transport	1	1	60	1050	263	very_heavy		0	32350280	false	wh2_dlc11_vo_culture_Rotting_Leviathan	monster_generic	3	false	cst_rotting_leviathon		true		1400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	true	1	false
hkrul_arbatt		-1	hero	1	false	hkrul_arbatt	1	0	500	wh_main_shp_transport	1	1	1	1000	274	medium		0	32350281	false	wh_main_vo_culture_Empire	emp_captain	0	true	emp_general_foot		true		400.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	2	false	false		0.0000	true	1	false
hkrul_arbatt_horse		-1	hero	1	false	hkrul_arbatt_horse	1	0	600	wh_main_shp_transport	1	1	1	1200	300	medium		0	32350282	false	wh_main_vo_culture_Empire	emp_captain_cavalry	0	true	emp_general_foot	wh_main_cam_mnt_emp_barded_warhorse	true		600.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	2	false	false		0.0000	true	1	false
hkrul_arbatt_pegasus		-1	hero	1	false	hkrul_arbatt_pegasus	1	0	825	wh_main_shp_transport	1	1	1	1350	337	medium		0	32350283	false	wh_main_vo_culture_Empire	emp_captain_pegasus	0	true	emp_general_foot	wh_main_cam_mnt_emp_imperial_pegasus	true		825.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	2	false	false		0.0000	true	1	false
urg_dae_inf_sphenisci_daemon		-1	melee_infantry	1	false	urg_dae_inf_sphenisci_daemon	80	0	400	wh_main_shp_transport	1	1	80	400	100	light		0	85674562	true	wh2_dlc09_vo_culture_Carrion	wh3_main_sla_daemonettes	1	false	dae_sphenisci_daemon_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	3	false	false		0.0000	true	1	false
urg_kho_inf_sphenisci_daemon		-1	melee_infantry	1	false	urg_dae_inf_sphenisci_daemon	80	0	400	wh_main_shp_transport	1	1	80	400	100	light		0	85674563	true	wh2_dlc09_vo_culture_Carrion	wh3_main_sla_daemonettes	1	false	dae_sphenisci_daemon_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	3	false	false		0.0000	true	1	false
urg_nur_inf_sphenisci_daemon		-1	melee_infantry	1	false	urg_dae_inf_sphenisci_daemon	80	0	400	wh_main_shp_transport	1	1	80	400	100	light		0	85674564	true	wh2_dlc09_vo_culture_Carrion	wh3_main_sla_daemonettes	1	false	dae_sphenisci_daemon_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	3	false	false		0.0000	true	1	false
urg_sla_inf_sphenisci_daemon		-1	melee_infantry	1	false	urg_dae_inf_sphenisci_daemon	80	0	400	wh_main_shp_transport	1	1	80	400	100	light		0	85674565	true	wh2_dlc09_vo_culture_Carrion	wh3_main_sla_daemonettes	1	false	dae_sphenisci_daemon_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	3	false	false		0.0000	true	1	false
urg_tze_inf_sphenisci_daemon		-1	melee_infantry	1	false	urg_dae_inf_sphenisci_daemon	80	0	400	wh_main_shp_transport	1	1	80	400	100	light		0	85674566	true	wh2_dlc09_vo_culture_Carrion	wh3_main_sla_daemonettes	1	false	dae_sphenisci_daemon_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	3	false	false		600.0000	true	1	false
