unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/hkrul_mar_monsters																																												
ovn_mar_mon_augas_fish_summoned_0		-1	war_beast	1	false	ovn_mar_mon_augas_fish_summoned_0	60	0	350	wh_main_shp_transport	1	1	60	350	88	heavy		0	false	wh2_dlc11_vo_culture_Rotting_Prometheans	wh2_dlc11_cst_promethean	1	false	cst_rotting_leviathon		false		350.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
ovn_mar_mon_augas_fish_summoned_1		-1	monster	1	false	ovn_mar_mon_augas_fish_summoned_1	1	0	1050	wh_main_shp_transport	1	1	60	1050	263	very_heavy		0	false	wh2_dlc11_vo_culture_Rotting_Leviathan	monster_generic	3	false	cst_rotting_leviathon		true		1400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	true	1	false
chaos_whale_cst_kou		-1	lord	1	false	chaos_whale_cst_kou	1	0	5000	wh_main_shp_transport	1	1	1	2000	500	heavy		0	false	wh3_main_vo_culture_Tze_Screamer	wh3_main_tze_screamer	0	true	tze_screamers		true		2500.0000	0.0000	true	vo_culture_None	false	wh3_main_vo_actor_Khorne_Bloodthirster_Unit	0	false	true	5	false	false		0.0000	true	1	false
ovn_mar_mon_augas_fish_0		-1	war_beast	1	false	ovn_mar_mon_augas_fish_0	60	0	350	wh_main_shp_transport	1	1	60	350	88	heavy		0	false	wh2_dlc11_vo_culture_Rotting_Prometheans	wh2_dlc11_cst_promethean	1	false	cst_rotting_leviathon		false		350.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
ovn_mar_mon_augas_fish_1		-1	monster	1	false	ovn_mar_mon_augas_fish_1	1	0	1050	wh_main_shp_transport	1	1	60	1050	263	very_heavy		0	false	wh2_dlc11_vo_culture_Rotting_Leviathan	monster_generic	3	false	cst_rotting_leviathon		true		1400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	true	1	false
urg_dae_inf_sphenisci_daemon		-1	melee_infantry	1	false	urg_dae_inf_sphenisci_daemon	80	0	400	wh_main_shp_transport	1	1	80	400	100	light		0	true	wh2_dlc09_vo_culture_Carrion	wh3_main_sla_daemonettes	1	false	dae_sphenisci_daemon_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	3	false	false		0.0000	true	1	false
urg_kho_inf_sphenisci_daemon		-1	melee_infantry	1	false	urg_kho_inf_sphenisci_daemon	80	0	400	wh_main_shp_transport	1	1	80	400	100	light		0	true	wh2_dlc09_vo_culture_Carrion	wh3_main_sla_daemonettes	1	false	dae_sphenisci_daemon_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	3	false	false		0.0000	true	1	false
urg_nur_inf_sphenisci_daemon		-1	melee_infantry	1	false	urg_nur_inf_sphenisci_daemon	80	0	400	wh_main_shp_transport	1	1	80	400	100	light		0	true	wh2_dlc09_vo_culture_Carrion	wh3_main_sla_daemonettes	1	false	dae_sphenisci_daemon_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	3	false	false		0.0000	true	1	false
urg_sla_inf_sphenisci_daemon		-1	melee_infantry	1	false	urg_sla_inf_sphenisci_daemon	80	0	400	wh_main_shp_transport	1	1	80	400	100	light		0	true	wh2_dlc09_vo_culture_Carrion	wh3_main_sla_daemonettes	1	false	dae_sphenisci_daemon_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	3	false	false		0.0000	true	1	false
urg_tze_inf_sphenisci_daemon		-1	melee_infantry	1	false	urg_tze_inf_sphenisci_daemon	80	0	400	wh_main_shp_transport	1	1	80	400	100	light		0	true	wh2_dlc09_vo_culture_Carrion	wh3_main_sla_daemonettes	1	false	dae_sphenisci_daemon_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	3	false	false		600.0000	true	1	false
