unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;6;db/main_units_tables/hkrul_mar_ror																																													
hkrul_pion		1	melee_infantry	1	false	hkrul_pion	120	1	650	wh_main_shp_transport	1	1	120	700	198	medium		0	605123682	false	wh_main_vo_culture_Empire	hkrul_mar_infantry_spear_halberd	3	false	emp_soldier_15_degrees		false		550.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	true
hkrul_klumpf		1	melee_infantry	1	false	hkrul_klumpf	120	1	685	wh_main_shp_transport	1	1	120	715	190	medium		0	605123685	true	wh_main_vo_culture_Empire	hkrul_mar_inf_sword	3	true	emp_soldier_15_degrees		false		400.0000	0.0000	false	vo_culture_None	true	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	true
hkrul_carriers_ror		1	melee_infantry	1	false	hkrul_carriers_ror	1	1	725	wh_main_shp_transport	1	1	1	815	210	medium		0	605113687	true	wh2_dlc11_vo_culture_Vampire_Coast	hkrul_mar_wh_dlc07_brt_grail_relique	3	true	emp_reiksguard		true		500.0000	0.0000	false	vo_culture_None	true	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	true
hkrul_mar_art_paixhan_ror		1	warmachine	1	false	hkrul_mar_art_paixhan_ror	44	1	800	wh_main_shp_transport	1	1	44	1100	335	medium		0	605113688	false	wh_main_vo_culture_Empire	hkrul_mar_cannon	3	false	emp_soldier_15_degrees		false		60.0000	740.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	true
hkrul_mar_mananns_blades_ror		1	melee_infantry	1	false	hkrul_mar_mananns_blades_ror	120	1	700	wh_main_shp_transport	1	1	120	700	202	medium		0	423846234	false	wh_main_vo_culture_Empire	hkrul_mar_inf_sword	3	false	emp_soldier_15_degrees		false		700.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	true
hkrul_mar_bordermen_ror		1	missile_cavalry	1	false	hkrul_mar_bordermen_ror	48	1	1000	wh_main_shp_transport	1	1	40	1000	265	medium		0	1444590363	true	wh_main_vo_culture_Empire	hkrul_mar_missile_cavalry_rifle	3	false	emp_reiksguard		false		128.0000	512.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	true
hkrul_mar_defenders	wh_main_emp_smiths_2	4	melee_infantry	2	false	hkrul_mar_defenders	120	0	975	wh_main_shp_transport	1	1	120	975	278	medium		0	1444590364	true	wh_main_vo_culture_Empire	hkrul_mar_inf_gsword	3	false	emp_soldier_30_degrees		false		950.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
hkrul_mar_teuling		1	melee_cavalry	1	false	hkrul_mar_teuling	60	1	1050	wh_main_shp_transport	1	1	60	1035	345	heavy		0	1444590365	true	wh_main_vo_culture_Empire	hkrul_mar_cav	3	false	emp_reiksguard		false		1000.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	true
hkrul_mar_talons		1	missile_infantry	1	false	hkrul_mar_talons	90	1	900	wh_main_shp_transport	1	1	120	965	196	medium		0	1444590366	true	wh_main_vo_culture_Empire	hkrul_mar_missile_infantry_rifle	3	false	emp_soldier_30_degrees		false		120.0000	480.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
rhox_mar_cst_inf_sartosa_free_company_0		2	melee_infantry	1	false	rhox_mar_cst_inf_sartosa_free_company_0	120	0	450	wh_main_shp_transport	1	1	120	450	131	medium		0	1444590367	true	wh2_dlc11_vo_culture_Vampire_Coast	wh2_main_infantry_dual_swords	1	false	emp_soldier_15_degrees		false		450.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
rhox_mar_cst_inf_sartosa_militia_0		2	missile_infantry	1	false	rhox_mar_cst_inf_sartosa_militia_0	120	0	450	wh_main_shp_transport	1	1	120	450	132	medium		0	1444590368	true	wh2_dlc11_vo_culture_Vampire_Coast	missile_infantry_pistol	1	false	emp_soldier_15_degrees		false		250.0000	200.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
hkrul_fooger_ror		1	melee_infantry	1	false	hkrul_fooger_ror	120	0	975	wh_main_shp_transport	1	1	120	1000	315	heavy		0	1444590369	false	wh_main_vo_culture_Dwarf	hkrul_mar_inf_gsword	3	false	dwf_warrior_15_degrees		false		700.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Dwarf_Infantry	0	true	false	1	false	false		0.0000	true	1	true
