key	generate	ui_image	prioritised	event_category	override_icon	is_large_incident	additional_sound_event	sepia_fade
#incidents_tables;6;db/incidents_tables/hkrul_mar								
hkrul_mar_caravan_completed	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
hkrul_mar_caravan_completed_altdorf	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
hkrul_mar_caravan_completed_castle_drakenhof	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
hkrul_mar_caravan_completed_erengrad	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
hkrul_mar_caravan_completed_estalia	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
hkrul_mar_caravan_completed_frozen_landing	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
hkrul_mar_caravan_completed_ind	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
hkrul_mar_caravan_completed_marienburg	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
hkrul_mar_caravan_completed_novchozy	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
hkrul_mar_caravan_completed_received	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
hkrul_mar_caravan_completed_stone_bay	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
hkrul_mar_caravan_completed_tilea	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
hkrul_mar_caravan_completed_zharr_nagrund	false	cst/legendary_pirate_attacks	false	Event	event_caravan_positive.png	false		0.0000
