technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/rhox_mar			
tech_ovn_mar_rijkers_isle	wh_main_effect_public_order_tech	faction_to_province_own_unseen	1.0000
tech_ovn_mar_rijkers_isle	ovn_effect_marienburg_ror_unlock_red_talons	faction_to_faction_own_unseen	1.0000
tech_ovn_mar_temple_district	ovn_effect_marienburg_ror_unlock_brothers_of_haendryk	faction_to_faction_own_unseen	1.0000
tech_ovn_mar_temple_district	ovn_effect_technology_economy_gdp_mod_local_trade_marienburg	faction_to_faction_own_unseen	5.0000
tech_ovn_mar_temple_district_2	wh3_main_effect_winds_of_magic_technology	faction_to_force_own	3.0000
tech_ovn_mar_temple_district_2	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	10.0000
tech_ovn_mar_mananns_haven	wh_dlc08_effect_attrition_immunity_high_seas	faction_to_force_own	1.0000
tech_ovn_mar_mananns_haven	wh_main_effect_force_all_campaign_movement_range	faction_to_force_own_unseen	5.0000
tech_ovn_mar_mananns_haven	wh3_main_effect_corruption_reduction_technology	faction_to_faction_own	1.0000
tech_ovn_mar_the_flats	ovn_effect_technology_economy_gdp_mod_land_trade_marienburg	faction_to_faction_own_unseen	5.0000
tech_ovn_mar_old_money_ward_1	ovn_effect_tech_ammo_increase_mar_archers	faction_to_force_own_unseen	20.0000
tech_ovn_mar_old_money_ward_1	ovn_effect_tech_range_increase_mar_archers	faction_to_force_own_unseen	5.0000
tech_ovn_mar_old_money_ward_2	wh_main_effect_economy_gdp_mod_all	faction_to_region_own_unseen	10.0000
tech_ovn_mar_old_money_ward_3	wh_main_faction_political_diplomacy_mod_technology_empire	faction_to_faction_own_unseen	10.0000
tech_ovn_mar_old_money_ward_3	ovn_effect_tech_charge_bonus_increase_mar_all_cavalry	faction_to_force_own_unseen	15.0000
tech_ovn_mar_elf_town_1	wh2_main_faction_political_diplomacy_mod_technology_high_elves	faction_to_faction_own_unseen	10.0000
tech_ovn_mar_elf_town_1	ovn_effect_tech_range_increase_mar_archers	faction_to_force_own_unseen	5.0000
tech_ovn_mar_elf_town_2	wh_main_effect_economy_gdp_mod_trade_sea	faction_to_region_own_unseen	2.0000
tech_ovn_mar_elf_town_2	ovn_effect_marienburg_ror_unlock_continental_exarchate_guard	faction_to_faction_own_unseen	1.0000
tech_ovn_mar_elf_town_2	ovn_effect_tech_upkeep_decrease_mar_lothern_sea_guard	faction_to_force_own_unseen	-25.0000
tech_ovn_mar_riddra_isle	ovn_effect_skill_melee_attack_increase_mar_pit_fighters	faction_to_force_own_unseen	5.0000
tech_ovn_mar_riddra_isle	ovn_effect_technology_economy_gdp_mod_culture_marienburg	faction_to_faction_own_unseen	5.0000
tech_ovn_mar_riddra_isle	ovn_effect_marienburg_ror_unlock_monniks_pit_fighters	faction_to_faction_own_unseen	1.0000
tech_ovn_mar_norscan_town	wh_main_faction_political_diplomacy_mod_technology_norsca	faction_to_faction_own_unseen	10.0000
tech_ovn_mar_norscan_town	ovn_effect_tech_melee_attack_increase_mar_goedendagers_swordsmen_vaulting_spearmen	faction_to_force_own_unseen	5.0000
tech_ovn_mar_norscan_town	ovn_effect_tech_melee_defence_increase_mar_goedendagers_swordsmen_vaulting_spearmen	faction_to_force_own_unseen	5.0000
tech_ovn_mar_craftsmarket_1	ovn_effect_tech_missile_damage_increase_crossbowmen_hobelar_crossbow	faction_to_force_own_unseen	15.0000
tech_ovn_mar_craftsmarket_1	ovn_effect_tech_range_increase_mar_crossbowmen_hobelar_crossbow	faction_to_force_own_unseen	5.0000
tech_ovn_mar_dead_canal_1	ovn_effect_tech_armour_increase_mar_goedendagers_swordsmen_vaulting_spearmen	faction_to_force_own_unseen	5.0000
tech_ovn_mar_dead_canal_1	ovn_effect_tech_army_campaign_attrition_disease_resistance	faction_to_force_own_unseen	-25.0000
tech_ovn_mar_north_wall_1	ovn_effect_technology_economy_gdp_mod_farming_marienburg	faction_to_faction_own_unseen	5.0000
tech_ovn_mar_arabtown	wh_main_effect_force_army_campaign_attrition_desert_resistance	faction_to_force_own	-25.0000
tech_ovn_mar_treasurehoem	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own_unseen	-10.0000
tech_ovn_mar_guilderfield	wh_main_effect_economy_gdp_mod_all	faction_to_region_own_unseen	10.0000
tech_ovn_mar_guilderfield	ovn_effect_technology_economy_gdp_mod_mining_marienburg	faction_to_faction_own_unseen	5.0000
tech_ovn_mar_stoessel_isle	ovn_effect_tech_melee_defence_increase_mar_wargalley_seamen	faction_to_force_own_unseen	10.0000
tech_ovn_mar_stoessel_isle	ovn_effect_tech_leadership_increase_mar_wargalley_seamen	faction_to_force_own_unseen	10.0000
tech_ovn_mar_south_dock_1	ovn_effect_marienburg_ror_unlock_van_klumpfs_buccaneers	faction_to_faction_own_unseen	1.0000
tech_ovn_mar_south_dock_1	wh_main_effect_economy_gdp_mod_trade_sea	faction_to_faction_own_unseen	5.0000
tech_ovn_mar_craftsmarket_2	ovn_effect_skill_missile_damage_increase_mar_landship	faction_to_force_own_unseen	20.0000
tech_ovn_mar_craftsmarket_2	ovn_effect_skill_armour_increase_mar_landship	faction_to_force_own_unseen	15.0000
tech_ovn_mar_craftsmarket_2	ovn_effect_marienburg_ror_unlock_guttmanns_prototype	faction_to_faction_own_unseen	1.0000
tech_ovn_mar_dead_canal_2	ovn_effect_tech_melee_defence_increase_mar_blackcaps	faction_to_force_own_unseen	5.0000
tech_ovn_mar_dead_canal_2	ovn_effect_tech_leadership_increase_mar_blackcaps	faction_to_force_own_unseen	5.0000
tech_ovn_mar_north_wall_2	ovn_effect_tech_missile_damage_increase_mar_kloveniers	faction_to_force_own_unseen	15.0000
tech_ovn_mar_north_wall_2	ovn_effect_tech_ammo_increase_mar_kloveniers	faction_to_force_own_unseen	15.0000
tech_ovn_mar_dealers_market_1	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	5.0000
tech_ovn_mar_nippon_town	wh_main_effect_agent_action_cost_mod	faction_to_character_own_unseen	-20.0000
tech_ovn_mar_palace_district	wh_main_effect_public_order_tech	faction_to_province_own_unseen	1.0000
tech_ovn_mar_palace_district	wh_main_effect_agent_recruitment_cost_mod	faction_to_province_own_unseen	-33.0000
tech_ovn_mar_palace_district	ovn_effect_marienburg_ror_unlock_haarings_guards	faction_to_faction_own_unseen	1.0000
