group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;2;db/cdir_military_generator_unit_qualities_tables/rhox_mar		
wh3_default_land_melee_cavalry_light	hkrul_mar_cav_rijders	tier_1_step_5_units
wh3_default_land_ranged_cavalry_mounted	hkrul_mar_cav_rijders_crossbow	tier_2_step_1_units
wh3_default_land_melee_cavalry_main_mounted_medium	hkrul_mar_sons_of_manann	tier_3_step_2_units
wh3_default_land_artillery_long_range	hkrul_mar_culverin	tier_2_step_3_units
wh3_default_land_artillery_long_range	hkrul_mar_hellblaster	tier_3_step_1_units
wh3_default_land_melee_cavalry_main_mounted_heavy	hkrul_mar_knights_griffon	tier_5_units
wh3_default_land_artillery_long_range	hkrul_mar_mortar	tier_2_step_2_units
wh3_default_land_artillery_long_range	hkrul_mar_hellstorm	tier_3_step_1_units
wh3_default_land_ranged_infantry_main_light_backline	hkrul_mar_inf_boogschutter	tier_1_step_4_units
wh3_default_land_artillery_long_range	hkrul_mar_art_scheepskanon	tier_2_step_4_units
wh3_default_land_ranged_infantry_main_light_backline	hkrul_mar_inf_crossbow	tier_1_step_5_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	hkrul_mar_inf_greatsword	tier_2_step_4_units
wh3_default_land_melee_infantry_main_frontline_spears_high_quality	hkrul_mar_inf_halberd	tier_2_step_1_units
wh3_default_land_ranged_infantry_main_light_backline	hkrul_mar_inf_handgun	tier_2_step_2_units
wh3_default_land_melee_infantry_main_frontline_swords	hkrul_mar_inf_swords	tier_1_step_4_units
wh3_default_land_melee_infantry_main_frontline_spears	hkrul_mar_inf_goedendagers	tier_1_step_4_units
wh3_default_land_ranged_infantry_main_light_backline	hkrul_mar_riverwarden	tier_2_step_1_units
wh3_default_land_melee_infantry_main_frontline_swords	hkrul_mar_qual	tier_1_step_5_units
wh3_default_land_ranged_infantry_main_light_backline	hkrul_mar_qual_great	tier_2_step_2_units
wh3_default_land_melee_infantry_main_frontline_spears_high_quality	hkrul_mar_black_caps	tier_1_step_5_units
wh3_default_land_aura	hkrul_carriers	tier_1_step_5_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	hkrul_mar_defenders	tier_2_step_5_units
wh3_default_land_melee_cavalry_main_mounted_heavy	hkrul_mar_cleansing_flame	tier_3_step_5_units
wh3_default_land_melee_infantry_main_frontline_spears	hkrul_burgher	tier_1_step_4_units
wh3_default_land_melee_infantry_main_frontline_swords	hkrul_privateers_dual_swords	tier_2_step_3_units
wh3_default_land_ranged_infantry_main_light_backline	hkrul_mar_handguns	tier_2_step_2_units
wh3_default_land_ranged_infantry_main_light_backline	hkrul_privateers	tier_2_step_3_units
wh3_default_land_ranged_infantry_main_light_backline	hkrul_mar_knights_mariner_fmc	tier_2_step_4_units
wh3_default_land_melee_infantry_main_frontline_swords	rhox_mar_cst_inf_sartosa_free_company_0	tier_1_step_5_units
wh3_default_land_ranged_infantry_main_light_backline	rhox_mar_cst_inf_sartosa_militia_0	tier_1_step_5_units
wh3_default_land_melee_infantry_main_frontline_spears_high_quality	hkrul_pion	tier_2_step_2_units
wh3_default_land_melee_infantry_main_frontline_swords	hkrul_klumpf	tier_2_step_2_units
wh3_default_land_aura	hkrul_carriers_ror	tier_2_step_3_units
wh3_default_land_artillery_long_range	hkrul_mar_art_paixhan_ror	tier_2_step_4_units
wh3_default_land_melee_infantry_main_frontline_swords	hkrul_mar_mananns_blades_ror	tier_2_step_3_units
wh3_default_land_ranged_cavalry_mounted	hkrul_mar_bordermen_ror	tier_3_step_1_units
wh3_default_land_melee_cavalry_main_mounted_heavy	hkrul_mar_teuling	tier_3_step_1_units
wh3_default_land_ranged_infantry_main_light_backline	hkrul_mar_talons	tier_2_step_5_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	hkrul_fooger_ror	tier_2_step_5_units
wh3_default_land_ranged_infantry_main_light_backline	hkrul_mar_riverwarden_ror	tier_2_step_4_units
wh3_default_land_artillery_long_range	hkrul_mar_naval_paixhan	tier_3_step_1_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	hkrul_mar_inf_cairn_wraiths_summoned_0	tier_2_step_4_units
wh3_default_land_monsters_flanking_strong	ovn_mar_mon_augas_fish_summoned_0	tier_1_step_4_units
wh3_default_land_monsters_flanking_strong	ovn_mar_mon_augas_fish_summoned_1	tier_3_step_1_units
wh3_default_land_melee_infantry_main_flanking	hkrul_manann_flagellant	tier_2_step_2_units
wh3_default_land_melee_infantry_main_frontline_swords	hkrul_mar_knights_mariner	tier_2_step_1_units
wh3_default_land_melee_infantry_main_frontline_spears_high_quality	ovn_mar_inf_knights_mariner_0	tier_3_step_2_units
wh3_default_land_monsters_flanking_strong	ovn_mar_mon_augas_fish_0	tier_1_step_4_units
wh3_default_land_monsters_flanking_strong	ovn_mar_mon_augas_fish_1	tier_3_step_1_units
wh3_default_land_melee_infantry_main_flanking	urg_dae_inf_sphenisci_daemon	tier_1_step_5_units
wh3_default_land_melee_infantry_main_flanking	urg_kho_inf_sphenisci_daemon	tier_1_step_5_units
wh3_default_land_melee_infantry_main_flanking	urg_nur_inf_sphenisci_daemon	tier_1_step_5_units
wh3_default_land_melee_infantry_main_flanking	urg_sla_inf_sphenisci_daemon	tier_1_step_5_units
wh3_default_land_melee_infantry_main_flanking	urg_tze_inf_sphenisci_daemon	tier_1_step_5_units
wh3_default_land_melee_infantry_main_frontline_swords	hkrul_mar_fooger_qual	tier_1_step_5_units
wh3_default_land_ranged_infantry_main_light_backline	hkrul_mar_fooger_qual_great	tier_2_step_2_units
wh3_default_land_melee_infantry_trash	rhox_fooger_wh_main_dwf_inf_miners_0	tier_1_step_4_units
wh3_default_land_ranged_infantry_trash	rhox_fooger_wh_main_dwf_inf_miners_1	tier_1_step_5_units
wh3_default_land_melee_infantry_main_frontline_swords	rhox_fooger_wh_main_dwf_inf_longbeards	tier_2_step_3_units
wh3_default_land_melee_infantry_main_frontline_swords	rhox_fooger_wh_main_dwf_inf_longbeards_1	tier_2_step_3_units
wh3_default_land_ranged_infantry_main_light_backline	rhox_fooger_wh_main_dwf_inf_thunderers_0	tier_2_step_3_units
wh3_default_land_ranged_infantry_main_light_skirmisher	rhox_fooger_wh_dlc06_dwf_inf_rangers_0	tier_2_step_1_units
wh3_default_land_ranged_infantry_main_light_skirmisher	rhox_fooger_wh_dlc06_dwf_inf_rangers_1	tier_2_step_2_units
wh3_default_land_artillery_long_range	rhox_fooger_wh_main_dwf_art_organ_gun	tier_3_step_2_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	rhox_fooger_wh_main_dwf_inf_hammerers	tier_3_step_3_units
wh3_default_land_artillery_long_range	rhox_dauphine_hkrul_mar_hellblaster	tier_3_step_1_units
wh3_default_land_melee_cavalry_main_mounted_heavy	rhox_dauphine_hkrul_mar_cleansing_flame	tier_3_step_5_units
wh3_default_land_artillery_long_range	rhox_dauphine_hkrul_mar_art_scheepskanon	tier_2_step_4_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	rhox_dauphine_hkrul_mar_inf_greatsword	tier_2_step_4_units
wh3_default_land_ranged_infantry_main_light_backline	rhox_dauphine_hkrul_mar_inf_handgun	tier_2_step_2_units
wh3_default_land_ranged_infantry_main_light_backline	rhox_dauphine_hkrul_mar_riverwarden	tier_2_step_1_units
wh3_default_land_melee_infantry_main_frontline_swords	rhox_dauphine_hkrul_privateers_dual_swords	tier_2_step_3_units
wh3_default_land_ranged_infantry_main_light_backline	rhox_dauphine_hkrul_privateers	tier_2_step_4_units
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	rhox_dauphine_hkrul_mar_defenders	tier_2_step_5_units
wh3_default_land_melee_infantry_main_frontline_spears_high_quality	rhox_dauphine_hkrul_mar_black_caps	tier_1_step_5_units
