battle_animations_table	culture_pack
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/!hkrul_mar	
hu1_empire_bc2_griffon_wb_hammer_novfx	wh_main_emp_empire
hu1_dlc13_wagon01_crew_rifle01	wh_main_emp_empire
hu1_empire_helstorm_crew	wh_main_emp_empire
hu1_empire_sword_rifle	wh_main_emp_empire
wm_land_ship02	wh_main_emp_empire
wm_great_cannon_rider	wh_main_emp_empire
hu1_wh3_kislev_mace_and_satchel	wh_main_emp_empire
hu1_empire_hr1_warhorse_sword	wh_main_emp_empire
hu1_mrn_dagger_cane	wh_main_emp_empire
hu1_mrn_hr1_warhorse_dagger_and_cane	wh_main_emp_empire
hu1_marienburg_hr1_warhorse_sword_and_crossbow	wh_main_emp_empire
hu1_marienburg_spear_shield_pistol	wh_main_emp_empire
hu1_bretonnian_sword_and_longbow	wh_main_emp_empire
hu1_tomb_sword_and_whip	wh_main_vmp_vampire_counts
hu1_mrg_manann_lector	wh_main_emp_empire
chaos_whale	wh2_dlc11_cst_vampire_coast
bi13_penguin	wh3_main_kho_khorne
bi13_penguin	wh3_main_nur_nurgle
bi13_penguin	wh3_main_sla_slaanesh
bi13_penguin	wh3_main_tze_tzeentch
bi13_penguin	wh2_dlc11_cst_vampire_coast
hu3_phy_rashasawa_01	wh_main_dwf_dwarfs
