attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/!snek_hkrul_marienburg_landship	
deep_sea	snek_hkrul_mar_landship
sea_monster_storm	snek_hkrul_mar_landship
maelstrom	snek_hkrul_mar_landship
storm_level_1	snek_hkrul_mar_landship
storm_level_2	snek_hkrul_mar_landship
storm_level_3	snek_hkrul_mar_landship
storm_level_4	snek_hkrul_mar_landship
storm_level_5	snek_hkrul_mar_landship
deep_sea	snek_hkrul_mar_ror_landship
sea_monster_storm	snek_hkrul_mar_ror_landship
maelstrom	snek_hkrul_mar_ror_landship
storm_level_1	snek_hkrul_mar_ror_landship
storm_level_2	snek_hkrul_mar_ror_landship
storm_level_3	snek_hkrul_mar_ror_landship
storm_level_4	snek_hkrul_mar_ror_landship
storm_level_5	snek_hkrul_mar_ror_landship
non_vampire_territory	snek_hkrul_mar_ror_landship
non_vampire_territory	snek_hkrul_mar_landship
