attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/hkrul_mar_characters	
non_vampire_territory	hkrul_jk
non_vampire_territory	hkrul_jk_barded_warhorse
non_vampire_territory	hkrul_hendrik
non_vampire_territory	hkrul_hendrik_warhorse
non_vampire_territory	hkrul_pg
non_vampire_territory	hkrul_pg_barded_warhorse
non_vampire_territory	hkrul_mar_handguns
non_vampire_territory	hkrul_solkan
non_vampire_territory	hkrul_crispijn
non_vampire_territory	hkrul_mar_egmond
vampire_territory	hkrul_alicia
vampire_territory	hkrul_mar_munvard_01
vampire_territory	hkrul_mar_munvard_02
non_vampire_territory	hkrul_cross
non_vampire_territory	hkrul_lisette
non_vampire_territory	hkrul_mar_caravan_master
non_vampire_territory	hkrul_mar_caravan_master_horse
non_vampire_territory	hkrul_harb
non_vampire_territory	hkrul_lector_manann
non_vampire_territory	hkrul_lector_manann_mount
deep_sea	hkrul_lector_manann
deep_sea	hkrul_lector_manann_mount
vampire_territory	hkrul_slaver
mountain	hkrul_paldee
non_vampire_territory	hkrul_paldee
snow	hkrul_paldee
mountain	hkrul_ogg
non_vampire_territory	hkrul_ogg
snow	hkrul_ogg
mountain	hkrul_rasha
non_vampire_territory	hkrul_rasha
snow	hkrul_rasha
non_vampire_territory	hkrul_dauphine
deep_sea	hkrul_dauphine
non_vampire_territory	ovn_mar_cha_wizard_sea_0
deep_sea	ovn_mar_cha_wizard_sea_0
non_vampire_territory	ovn_mar_cha_wizard_sea_1
non_vampire_territory	ovn_mar_cha_wizard_sea_2
deep_sea	hkrul_dauphine_1
non_vampire_territory	hkrul_dauphine_1
deep_sea	hkrul_dauphine_2
non_vampire_territory	hkrul_dauphine_2
deep_sea	hkrul_dauphine_3
non_vampire_territory	hkrul_dauphine_3
mountain	hkrul_fooger
snow	hkrul_fooger
non_vampire_territory	hkrul_fooger
mountain	hkrul_fooger_caravan_master
non_vampire_territory	hkrul_fooger_caravan_master
snow	hkrul_fooger_caravan_master
mountain	hkrul_fooger_dwarf_lord
non_vampire_territory	hkrul_fooger_dwarf_lord
snow	hkrul_fooger_dwarf_lord
non_vampire_territory	hkrul_arbatt_horse
non_vampire_territory	hkrul_arbatt_pegasus
