faction_key	unit_key
#faction_rebellion_units_junctions_tables;0;db/faction_rebellion_units_junctions_tables/rhox_mar	
ovn_mar_house_de_roelef_rebel	hkrul_carriers
ovn_mar_house_de_roelef_rebel	hkrul_burgher
ovn_mar_house_de_roelef_rebel	hkrul_privateers_dual_swords
ovn_mar_house_de_roelef_rebel	hkrul_mar_handguns
ovn_mar_house_de_roelef_rebel	hkrul_privateers
ovn_mar_house_de_roelef_rebel	hkrul_mar_cav_rijders
ovn_mar_house_de_roelef_rebel	hkrul_mar_cav_rijders_crossbow
ovn_mar_house_de_roelef_rebel	hkrul_mar_sons_of_manann
ovn_mar_house_de_roelef_rebel	hkrul_mar_culverin
ovn_mar_house_de_roelef_rebel	hkrul_mar_hellblaster
ovn_mar_house_de_roelef_rebel	hkrul_mar_knights_griffon
ovn_mar_house_de_roelef_rebel	hkrul_mar_mortar
ovn_mar_house_de_roelef_rebel	hkrul_mar_hellstorm
ovn_mar_house_de_roelef_rebel	hkrul_mar_cleansing_flame
ovn_mar_house_de_roelef_rebel	hkrul_mar_inf_boogschutter
ovn_mar_house_de_roelef_rebel	hkrul_mar_art_scheepskanon
ovn_mar_house_de_roelef_rebel	hkrul_mar_inf_crossbow
ovn_mar_house_de_roelef_rebel	hkrul_mar_inf_greatsword
ovn_mar_house_de_roelef_rebel	hkrul_mar_inf_halberd
ovn_mar_house_de_roelef_rebel	hkrul_mar_inf_handgun
ovn_mar_house_de_roelef_rebel	hkrul_mar_inf_swords
ovn_mar_house_de_roelef_rebel	hkrul_mar_inf_goedendagers
ovn_mar_house_de_roelef_rebel	hkrul_mar_riverwarden
wh_main_emp_marienburg	hkrul_carriers
wh_main_emp_marienburg	hkrul_burgher
wh_main_emp_marienburg	hkrul_privateers_dual_swords
wh_main_emp_marienburg	hkrul_mar_handguns
wh_main_emp_marienburg	hkrul_privateers
wh_main_emp_marienburg	hkrul_mar_cav_rijders
wh_main_emp_marienburg	hkrul_mar_cav_rijders_crossbow
wh_main_emp_marienburg	hkrul_mar_sons_of_manann
wh_main_emp_marienburg	hkrul_mar_culverin
wh_main_emp_marienburg	hkrul_mar_hellblaster
wh_main_emp_marienburg	hkrul_mar_knights_griffon
wh_main_emp_marienburg	hkrul_mar_mortar
wh_main_emp_marienburg	hkrul_mar_hellstorm
wh_main_emp_marienburg	hkrul_mar_cleansing_flame
wh_main_emp_marienburg	hkrul_mar_inf_boogschutter
wh_main_emp_marienburg	hkrul_mar_art_scheepskanon
wh_main_emp_marienburg	hkrul_mar_inf_crossbow
wh_main_emp_marienburg	hkrul_mar_inf_greatsword
wh_main_emp_marienburg	hkrul_mar_inf_halberd
wh_main_emp_marienburg	hkrul_mar_inf_handgun
wh_main_emp_marienburg	hkrul_mar_inf_swords
wh_main_emp_marienburg	hkrul_mar_inf_goedendagers
wh_main_emp_marienburg	hkrul_mar_riverwarden
ovn_mar_house_den_euwe	hkrul_carriers
ovn_mar_house_den_euwe	hkrul_burgher
ovn_mar_house_den_euwe	hkrul_privateers_dual_swords
ovn_mar_house_den_euwe	hkrul_mar_handguns
ovn_mar_house_den_euwe	hkrul_privateers
ovn_mar_house_den_euwe	hkrul_mar_cav_rijders
ovn_mar_house_den_euwe	hkrul_mar_cav_rijders_crossbow
ovn_mar_house_den_euwe	hkrul_mar_sons_of_manann
ovn_mar_house_den_euwe	hkrul_mar_culverin
ovn_mar_house_den_euwe	hkrul_mar_hellblaster
ovn_mar_house_den_euwe	hkrul_mar_knights_griffon
ovn_mar_house_den_euwe	hkrul_mar_mortar
ovn_mar_house_den_euwe	hkrul_mar_hellstorm
ovn_mar_house_den_euwe	hkrul_mar_cleansing_flame
ovn_mar_house_den_euwe	hkrul_mar_inf_boogschutter
ovn_mar_house_den_euwe	hkrul_mar_art_scheepskanon
ovn_mar_house_den_euwe	hkrul_mar_inf_crossbow
ovn_mar_house_den_euwe	hkrul_mar_inf_greatsword
ovn_mar_house_den_euwe	hkrul_mar_inf_halberd
ovn_mar_house_den_euwe	hkrul_mar_inf_handgun
ovn_mar_house_den_euwe	hkrul_mar_inf_swords
ovn_mar_house_den_euwe	hkrul_mar_inf_goedendagers
ovn_mar_house_den_euwe	hkrul_mar_riverwarden
ovn_mar_house_de_roelef_rebel	snek_hkrul_mar_landship
ovn_mar_house_fooger_rebel	hkrul_carriers
ovn_mar_house_fooger_rebel	hkrul_mar_cav_rijders
ovn_mar_house_fooger_rebel	hkrul_mar_cav_rijders_crossbow
ovn_mar_house_fooger_rebel	hkrul_mar_sons_of_manann
ovn_mar_house_fooger_rebel	hkrul_mar_culverin
ovn_mar_house_fooger_rebel	hkrul_mar_hellblaster
