key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost	required_parents	pixel_offset_x	pixel_offset_y
#technology_nodes_tables;0;db/technology_nodes_tables/rhox_mar														
wh2_dlc13_tech_mar_academia_1			4	wh2_dlc13_tech_emp_academia_1	emp_marienburg_tech	4	500	0	0	emp_aca		0	42	0
wh2_dlc13_tech_mar_academia_1_a			3	wh2_dlc13_tech_emp_academia_1_a	emp_marienburg_tech	4	700	0	0	emp_aca		0	42	0
wh2_dlc13_tech_mar_academia_1_b			5	wh2_dlc13_tech_emp_academia_1_b	emp_marienburg_tech	4	700	0	0	emp_aca		0	42	0
wh2_dlc13_tech_mar_academia_2			3	wh2_dlc13_tech_emp_academia_2	emp_marienburg_tech	5	500	0	0	emp_aca		0	49	0
wh2_dlc13_tech_mar_academia_2_a			3	wh2_dlc13_tech_emp_academia_2_a	emp_marienburg_tech	6	700	0	0	emp_aca		0	56	0
wh2_dlc13_tech_mar_academia_2_b			5	wh2_dlc13_tech_emp_academia_2_b	emp_marienburg_tech	5	700	0	0	emp_aca		0	49	0
wh2_dlc13_tech_mar_academia_3			3	wh2_dlc13_tech_emp_academia_3	emp_marienburg_tech	7	500	0	0	emp_aca		0	63	0
wh2_dlc13_tech_mar_academia_3_a			5	wh2_dlc13_tech_emp_academia_3_a	emp_marienburg_tech	7	700	0	0	emp_aca		0	63	0
wh2_dlc13_tech_mar_academia_3_b			5	wh2_dlc13_tech_emp_academia_3_b	emp_marienburg_tech	6	700	0	0	emp_aca		0	56	0
wh2_dlc13_tech_mar_cav_1			0	wh2_dlc13_tech_emp_cav_1	emp_marienburg_tech	2	500	0	0	emp_cav		0	21	0
wh2_dlc13_tech_mar_cav_1_a			1	wh2_dlc13_tech_emp_cav_1_a	emp_marienburg_tech	2	700	0	0	emp_cav		0	21	0
wh2_dlc13_tech_mar_cav_1_b			0	wh2_dlc13_tech_emp_cav_1_b	emp_marienburg_tech	3	700	0	0	emp_cav		0	21	0
wh2_dlc13_tech_mar_cav_1_c			1	wh2_dlc13_tech_emp_cav_1_c	emp_marienburg_tech	3	700	0	0	emp_cav		0	21	0
wh2_dlc13_tech_mar_diplomacy_1_a			7	wh2_dlc13_tech_emp_diplomacy_1_a	emp_marienburg_tech	0	100	7000	0	emp_dip		0	0	0
wh2_dlc13_tech_mar_diplomacy_1_b			7	wh2_dlc13_tech_emp_diplomacy_1_b	emp_marienburg_tech	1	100	7000	0	emp_dip		0	7	0
wh2_dlc13_tech_mar_diplomacy_1_c			7	wh2_dlc13_tech_emp_diplomacy_1_c	emp_marienburg_tech	2	100	7000	0	emp_dip		0	14	0
wh2_dlc13_tech_mar_diplomacy_1_d			7	wh2_dlc13_tech_emp_diplomacy_1_d	emp_marienburg_tech	3	100	7000	0	emp_dip		0	21	0
wh2_dlc13_tech_mar_economy_1			4	wh2_dlc13_tech_emp_economy_1	emp_marienburg_tech	0	500	0	0	emp_eco		0	0	0
wh2_dlc13_tech_mar_economy_1_a			3	wh2_dlc13_tech_emp_economy_1_a	emp_marienburg_tech	0	700	0	0	emp_eco		0	0	0
wh2_dlc13_tech_mar_economy_1_b			5	wh2_dlc13_tech_emp_economy_1_b	emp_marienburg_tech	2	700	0	0	emp_eco		0	14	0
wh2_dlc13_tech_mar_economy_2			4	wh2_dlc13_tech_emp_economy_2	emp_marienburg_tech	1	500	0	0	emp_eco		0	7	0
wh2_dlc13_tech_mar_economy_2_a			4	wh2_dlc13_tech_emp_economy_2_a	emp_marienburg_tech	2	700	0	0	emp_eco		0	14	0
wh2_dlc13_tech_mar_economy_2_b			5	wh2_dlc13_tech_emp_economy_2_b	emp_marienburg_tech	0	700	0	0	emp_eco		0	0	0
wh2_dlc13_tech_mar_economy_3			3	wh2_dlc13_tech_emp_economy_3	emp_marienburg_tech	3	500	0	0	emp_eco		0	21	0
wh2_dlc13_tech_mar_economy_3_a			5	wh2_dlc13_tech_emp_economy_3_a	emp_marienburg_tech	3	700	0	0	emp_eco		0	21	0
wh2_dlc13_tech_mar_economy_3_b			3	wh2_dlc13_tech_emp_economy_3_b	emp_marienburg_tech	2	700	0	0	emp_eco		0	14	0
wh2_dlc13_tech_mar_infantry_1_a			0	wh2_dlc13_tech_emp_infantry_1_a	emp_marienburg_tech	1	700	0	0	emp_mil		0	0	0
wh2_dlc13_tech_mar_infantry_1_b			1	wh2_dlc13_tech_emp_infantry_1_b	emp_marienburg_tech	1	700	0	0	emp_mil		0	0	0
wh2_dlc13_tech_mar_infantry_1_c			1	wh2_dlc13_tech_emp_infantry_1_c	emp_marienburg_tech	0	700	0	0	emp_mil		0	0	0
wh2_dlc13_tech_mar_machine_1			0	wh2_dlc13_tech_emp_machine_1	emp_marienburg_tech	4	500	0	0	emp_machines		0	42	0
