character_name	character_level	forename	magic_lore	num_men	surname	unit_type	agent_type	agent_subtype	portrait	character_model	skillset	male
#battle_set_piece_armies_characters_tables;8;db/battle_set_piece_armies_characters_tables/hkrul_camille												
hkrul_dauphine	1	2147343937	ovn_lore_sea	100	2147343940	hkrul_dauphine	general	hkrul_dauphine	ui/portraits/portholes/wh_main_emp_empire/hkrul_dauphine.png	222250352		true
ovn_mar_cha_wizard_sea_0	1	2147355082	ovn_lore_sea	100	2147357617	ovn_mar_cha_wizard_sea_0	wizard	mar_sea_wizard	ui/portraits/portholes/wh_main_emp_empire/ovn_mar_ch_sea_wizard.png	222250355		true
chaos_whale_kou	1	2147355082		100	2147357617	chaos_whale_cst_kou	general	chaos_whale_kou	ui/portraits/portholes/no_culture/chaos_whale_kou.png	222250357		true
hkrul_arbatt	1	2147355082		100	2147357617	hkrul_arbatt	champion	hkrul_arbatt	ui/portraits/portholes/no_culture/hkrul_arbatt.png	222250359		true
hkrul_fooger	1	6670700853		100	6670700852	hkrul_fooger	general	hkrul_fooger	ui/portraits/portholes/wh_main_emp_empire/hkrul_fooger.png	882627504		true
hkrul_fooger_caravan_master	1	6670700853		100	6670700852	hkrul_fooger_caravan_master	general	hkrul_fooger_caravan_master	ui/portraits/portholes/wh_main_emp_empire/hkrul_fooger_caravan_master_01.png	882627505		true
hkrul_fooger_dwarf_lord	1	6670700853		100	6670700852	hkrul_fooger_dwarf_lord	general	hkrul_fooger_dwarf_lord	ui/portraits/portholes/wh_main_emp_empire/hkrul_fooger_caravan_master_02.png	882627508		true
hkrul_rasha	1	2147343937		100	2147343940	hkrul_rasha	champion	hkrul_rasha	ui/portraits/portholes/wh_main_emp_empire/hkrul_rasha.png	259563221		true
hkrul_ogg	1	2147343937		100	2147343940	hkrul_ogg	champion	hkrul_ogg	ui/portraits/portholes/wh_main_emp_empire/hkrul_ogg.png	259563222		true
hkrul_paldee	1	2147343937		100	2147343940	hkrul_paldee	champion	hkrul_paldee	ui/portraits/portholes/wh_main_emp_empire/hkrul_paldee.png	259563223		true
