building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip
#building_culture_variants_tables;4;db/building_culture_variants_tables/hkrul_mar								
hkrul_mar_suiddock				wh_main_PLACEHOLDER	wh2_dlc14_special_pigbarter_human	false	hkrul_mar_suiddock	true
hkrul_mar_temple_haeyndrik				wh_main_PLACEHOLDER	hkrul_mar_temple_haeyndrik	false	hkrul_mar_temple_haeyndrik	true
hkrul_mar_bechai				wh_main_PLACEHOLDER	hkrul_mar_tsin_cult	false	hkrul_mar_bechai	true
hkrul_mar_mundvard_lair			ovn_mar_the_wasteland	wh_main_PLACEHOLDER	hkrul_mar_mundvard_lair	false	hkrul_mar_mundvard_lair	true
hkrul_mar_mundvard_marienburg			ovn_mar_the_wasteland	wh_main_PLACEHOLDER	hkrul_mar_mundvard_marienburg	false	hkrul_mar_mundvard_marienburg	true
rhox_mar_rijker				wh_main_PLACEHOLDER	hkrul_mar_rijker	false	hkrul_mar_rijker	true
rhox_mar_eilhart				wh_main_PLACEHOLDER	hkrul_mar_eilhart	false	rhox_mar_eilhart	true
rhox_mar_foreign_corruption_1			ovn_mar_the_wasteland	wh_main_PLACEHOLDER	hkrul_mar_tavern	false	rhox_mar_foreign_corruption_1	true
rhox_mar_foreign_income_1			ovn_mar_the_wasteland	wh_main_PLACEHOLDER	hkrul_mar_crime	false	rhox_mar_foreign_income_1	true
rhox_mar_foreign_trade_1			ovn_mar_the_wasteland	wh_main_PLACEHOLDER	hkrul_mar_slaves	false	rhox_mar_foreign_trade_1	true
rhox_mar_manann_shrine			ovn_mar_cult_of_manann	wh_main_PLACEHOLDER	marienburg_temple_of_manann	false	rhox_mar_manann_shrine	true
