order	special_ability	target_self	target_friends	target_enemies	phase
#special_ability_to_special_ability_phase_junctions_tables;2;db/special_ability_to_special_ability_phase_junctions_tables/hkrul_camille					
1	hkrul_dauphine_helm	true	false	false	wh2_main_item_passive_heart_of_averlorn
1	hkrul_dauphine_pal	true	true	false	hkrul_dauphine_pal
1	hkrul_dauphine_sword	true	false	false	hkrul_dauphine_sword
1	ovn_lore_passive_sea_legs	false	false	true	ovn_lore_passive_sea_legs
1	ovn_spell_sea_drowned_mans_face	false	false	true	ovn_spell_sea_drowned_mans_face
1	ovn_spell_sea_drowned_mans_face_upgraded	false	false	true	ovn_spell_sea_drowned_mans_face_upgraded
1	ovn_spell_sea_fountain_of_life	true	true	false	ovn_spell_sea_fountain_of_life
1	ovn_spell_sea_fountain_of_life_upgraded	true	true	false	ovn_spell_sea_fountain_of_life_upgraded
1	hkrul_manann_book	true	false	false	hkrul_manann_book
1	hkrul_mar_rusty	false	false	true	hkrul_mar_rusty
