battle_personality	land_unit	attach	riders_attachment_point	engine_articulation_index
#land_units_to_battle_personalities_junctions_tables;1;db/land_units_to_battle_personalities_junctions_tables/!snek_hkrul_marienburg_landship				
wh_main_mar_landship_crew_0	snek_hkrul_mar_landship	autonomous_rider	ap_crewposition_1	-1
wh_main_mar_landship_crew_1	snek_hkrul_mar_landship	autonomous_rider	ap_crewposition_2	-1
wh_main_mar_landship_crew_2	snek_hkrul_mar_landship	autonomous_rider	ap_crewposition_3	-1
wh_main_mar_landship_crew_3	snek_hkrul_mar_landship	autonomous_rider	ap_crewposition_4	-1
wh_main_mar_landship_crew_4	snek_hkrul_mar_landship	autonomous_rider	ap_crewposition_5	-1
wh_main_mar_landship_crew_5	snek_hkrul_mar_landship	autonomous_rider	ap_crewposition_6	-1
wh_main_mar_landship_crew_6	snek_hkrul_mar_landship	autonomous_rider	ap_crewposition_7	-1
wh_main_mar_landship_crew_7	snek_hkrul_mar_landship	autonomous_rider	ap_crewposition_8	-1
wh_main_mar_landship_crew_8	snek_hkrul_mar_landship	autonomous_rider	ap_crewposition_9	-1
wh_main_mar_landship_crew_9	snek_hkrul_mar_landship	autonomous_rider	ap_crewposition_10	-1
wh_main_mar_landship_crew_10	snek_hkrul_mar_landship	autonomous_rider	ap_crewposition_11	-1
wh_main_mar_ror_landship_crew_0	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_1	-1
wh_main_mar_ror_landship_crew_1	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_2	-1
wh_main_mar_ror_landship_crew_2	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_3	-1
wh_main_mar_ror_landship_crew_3	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_4	-1
wh_main_mar_ror_landship_crew_4	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_5	-1
wh_main_mar_ror_landship_crew_5	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_6	-1
wh_main_mar_ror_landship_crew_6	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_7	-1
wh_main_mar_ror_landship_crew_7	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_8	-1
wh_main_mar_ror_landship_crew_8	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_9	-1
wh_main_mar_ror_landship_crew_9	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_10	-1
wh_main_mar_ror_landship_crew_10	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_11	-1
wh_main_mar_ror_landship_crew_11	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_12	-1
wh_main_mar_ror_landship_crew_12	snek_hkrul_mar_ror_landship	autonomous_rider	ap_crewposition_13	-1
