effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/hkrul_mar		
hkrul_hendrik_enable_pelican	enable	hkrul_hendrik_pelican
hkrul_jk_enable_pork	enable	hkrul_jk_pork
hkrul_jk_enable_norsca	enable	hkrul_jk_norsca
hkrul_jk_enable_corn	enable	hkrul_jk_corn
hkrul_jk_enable_kislev	enable	hkrul_jk_kislev
hkrul_jk_enable_politician	enable	hkrul_jk_politician
hkrul_pg_enable_hook	enable	hkrul_pg_hook
hkrul_pg_enable_bomb	enable	hkrul_pg_bomb
hkrul_pg_enable_cutlass	enable	hkrul_pg_cutlass
hkrul_hendrik_enable_bargain	enable	hkrul_hendrik_bargain
hkrul_hendrik_enable_letter	enable	hkrul_hendrik_letter
hkrul_hendrik_enable_faith	enable	hkrul_hendrik_faith
hkrul_jk_enable_slippery	enable	hkrul_jk_slippery
hkrul_hendrik_enable_gold	enable	hkrul_hendrik_gold
hkrul_jk_enable_hat	enable	hkrul_jk_hat
hkrul_enable_mar_frost_globe	enable	hkrul_mar_frost_globe
hkrul_enable_marked_solkan	enable	hkrul_marked_solkan
hkrul_solkan_enable_greatsword	enable	hkrul_solkan_greatsword
hkrul_solkan_enable_cloak	enable	hkrul_solkan_cloak
hkrul_solkan_enable_scales	enable	hkrul_solkan_scales
hkrul_solkan_enable_ring	enable	hkrul_solkan_ring
hkrul_solkan_enable_ring2	enable	hkrul_solkan_ring2
hkrul_caravan_enable_training	enable	hkrul_caravan_training
hkrul_egmond_enable_amulet	enable	hkrul_egmond_amulet
hkrul_egmond_enable_katana	enable	hkrul_egmond_katana
hkrul_mar_effect_ability_cooldown_blue_fire_of_tzeentch	recharge_mod	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch
hkrul_mar_effect_ability_enable_tzeentch_blue_fire_of_tzeentch	enable	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch
hkrul_mar_effect_ability_overcast_blue_fire_of_tzeentch	enable	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch
hkrul_mar_effect_ability_overcast_blue_fire_of_tzeentch	enable_overchage	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch
hkrul_mar_effect_ability_wom_cost_blue_fire_of_tzeentch	cost_mod	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch
hkrul_mar_effect_ability_miscast_blue_fire_of_tzeentch_upgraded	miscast_percentage_mod	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch_upgraded
hkrul_mar_effect_ability_wom_cost_blue_fire_of_tzeentch_upgraded	cost_mod	hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch_upgraded
hkrul_mar_effect_ability_cooldown_treason_of_tzeentch	recharge_mod	hkrul_mar_spell_tzeentch_treason_of_tzeentch
hkrul_mar_effect_ability_enable_tzeentch_treason_of_tzeentch	enable	hkrul_mar_spell_tzeentch_treason_of_tzeentch
hkrul_mar_effect_ability_overcast_treason_of_tzeentch	enable	hkrul_mar_spell_tzeentch_treason_of_tzeentch
hkrul_mar_effect_ability_overcast_treason_of_tzeentch	enable_overchage	hkrul_mar_spell_tzeentch_treason_of_tzeentch
hkrul_mar_effect_ability_wom_cost_treason_of_tzeentch	cost_mod	hkrul_mar_spell_tzeentch_treason_of_tzeentch
hkrul_mar_effect_ability_miscast_treason_of_tzeentch_upgraded	miscast_percentage_mod	hkrul_mar_spell_tzeentch_treason_of_tzeentch_upgraded
hkrul_mar_effect_ability_wom_cost_treason_of_tzeentch_upgraded	cost_mod	hkrul_mar_spell_tzeentch_treason_of_tzeentch_upgraded
hkrul_mar_effect_ability_cooldown_tzeentchs_firestorm	recharge_mod	hkrul_mar_szeentch_tzeentchs_firestorm
hkrul_mar_effect_ability_enable_tzeentch_tzeentchs_firestorm	enable	hkrul_mar_szeentch_tzeentchs_firestorm
hkrul_mar_effect_ability_overcast_tzeentchs_firestorm	enable	hkrul_mar_szeentch_tzeentchs_firestorm
hkrul_mar_effect_ability_overcast_tzeentchs_firestorm	enable_overchage	hkrul_mar_szeentch_tzeentchs_firestorm
hkrul_mar_effect_ability_wom_cost_tzeentchs_firestorm	cost_mod	hkrul_mar_szeentch_tzeentchs_firestorm
hkrul_mar_effect_ability_miscast_tzeentchs_firestorm_upgraded	miscast_percentage_mod	hkrul_mar_szeentch_tzeentchs_firestorm_upgraded
hkrul_mar_effect_ability_wom_cost_tzeentchs_firestorm_upgraded	cost_mod	hkrul_mar_szeentch_tzeentchs_firestorm_upgraded
hkrul_mar_enable_egmond_simca	enable	hkrul_mar_egmond_simca
hkrul_mar_enable_egmond_rice	enable	hkrul_mar_egmond_rice
hkrul_enable_roelef_rally	enable	hkrul_roelef_rally
hkrul_enable_bard_music	enable	hkrul_bard_music
hkrul_mar_enable_lupo	enable	hkrul_mar_lupo
hkrul_mar_enable_stevedore	enable	hkrul_mar_stevedore
hkrul_mar_enable_speaker	enable	hkrul_mar_speaker
hkrul_enable_jaan_bribe	enable	hkrul_jaan_bribe
hkrul_enable_mar_lockpick	enable	hkrul_mar_lockpick
hkrul_mar_enable_dagger	enable	hkrul_mar_dagger
hkrul_enable_knot	enable	hkrul_knot
hkrul_enable_tales	enable	hkrul_tales
hkrul_jk_enable_politician_dummy	enable	hkrul_jk_politician
rhox_mar_enable_kuypers_ring_dummy	enable	hkrul_kuypers_ring
hkrul_mar_enable_mace	enable	hkrul_mar_mace
hkrul_enable_precise	enable	hkrul_precise
hkrul_enable_anchor	enable	hkrul_anchor
