effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/hkrul_camille		
hkrul_dauphine_helm	enable	hkrul_dauphine_helm
hkrul_dauphine_pal	enable	hkrul_dauphine_pal
hkrul_dauphine_sword	enable	hkrul_dauphine_sword
hkrul_mar_fish	enable	ovn_spell_sea_fishermans_eye
hkrul_mar_water_blast	enable	ovn_spell_sea_water_blast_bound
hkrul_manann_book	enable	hkrul_manann_book
hkrul_dauhpine_cooldown_prayers	recharge_mod	hkrul_manann_trident
hkrul_dauhpine_cooldown_prayers	recharge_mod	hkrul_manann_shield
hkrul_dauhpine_cooldown_prayers	recharge_mod	hkrul_manann_bombardment
hkrul_dauhpine_cooldown_prayers	recharge_mod	hkrul_manann_bastion
hkrul_dauhpine_cooldown_prayers	recharge_mod	hkrul_manann_benediction
ovn_effect_magic_sea_cooldown_fountain_of_life	recharge_mod	ovn_spell_sea_fountain_of_life
ovn_effect_magic_sea_miscast_reduction_fountain_of_life	miscast_percentage_mod	ovn_spell_sea_fountain_of_life_upgraded
ovn_effect_magic_sea_wom_cost_fountain_of_life	cost_mod	ovn_spell_sea_fountain_of_life
ovn_effect_magic_sea_wom_cost_fountain_of_life_upgrade	cost_mod	ovn_spell_sea_fountain_of_life_upgraded
ovn_effect_magic_sea_cooldown_water_blast	recharge_mod	ovn_spell_sea_water_blast
ovn_effect_magic_sea_miscast_reduction_water_blast	miscast_percentage_mod	ovn_spell_sea_water_blast_mage_upgraded
ovn_effect_magic_sea_wom_cost_water_blast	cost_mod	ovn_spell_sea_water_blast
ovn_effect_magic_sea_wom_cost_water_blast_upgrade	cost_mod	ovn_spell_sea_water_blast_mage_upgraded
ovn_lore_passive_sea_legs	enable	ovn_lore_passive_sea_legs
ovn_effect_magic_sea_cooldown_fishermans_eye	recharge_mod	ovn_spell_sea_fishermans_eye
ovn_effect_magic_sea_wom_cost_fishermans_eye	cost_mod	ovn_spell_sea_fishermans_eye
ovn_effect_magic_sea_cooldown_drowned_mans_face	recharge_mod	ovn_spell_sea_drowned_mans_face
ovn_effect_magic_sea_miscast_reduction_drowned_mans_face	miscast_percentage_mod	ovn_spell_sea_drowned_mans_face_upgraded
ovn_effect_magic_sea_wom_cost_drowned_mans_face	cost_mod	ovn_spell_sea_drowned_mans_face
ovn_effect_magic_sea_wom_cost_drowned_mans_face_upgrade	cost_mod	ovn_spell_sea_drowned_mans_face_upgraded
ovn_effect_magic_sea_cooldown_animate_water	recharge_mod	ovn_spell_sea_animate_water
ovn_effect_magic_sea_miscast_reduction_animate_water	miscast_percentage_mod	ovn_spell_sea_animate_water_upgraded
ovn_effect_magic_sea_wom_cost_animate_water	cost_mod	ovn_spell_sea_animate_water
ovn_effect_magic_sea_wom_cost_animate_water_upgrade	cost_mod	ovn_spell_sea_animate_water_upgraded
ovn_effect_magic_sea_cooldown_wave_of_destruction	recharge_mod	ovn_spell_sea_wave_of_destruction
ovn_effect_magic_sea_miscast_reduction_wave_of_destruction	miscast_percentage_mod	ovn_spell_sea_wave_of_destruction_upgraded
ovn_effect_magic_sea_wom_cost_wave_of_destruction	cost_mod	ovn_spell_sea_wave_of_destruction
ovn_effect_magic_sea_wom_cost_wave_of_destruction_upgrade	cost_mod	ovn_spell_sea_wave_of_destruction_upgraded
ovn_ability_enable_fountain_of_life	enable	ovn_spell_sea_fountain_of_life
ovn_ability_enable_fountain_of_life_upgraded	enable	ovn_spell_sea_fountain_of_life
ovn_ability_enable_water_blast	enable	ovn_spell_sea_water_blast
ovn_ability_enable_water_blast_upgraded	enable	ovn_spell_sea_water_blast
ovn_ability_enable_fishermans_eye	enable	ovn_spell_sea_fishermans_eye_mage
ovn_ability_enable_drowned_mans_face	enable	ovn_spell_sea_drowned_mans_face
ovn_ability_enable_drowned_mans_face_upgraded	enable	ovn_spell_sea_drowned_mans_face
ovn_ability_enable_animate_water	enable	ovn_spell_sea_animate_water
ovn_ability_enable_animate_water_upgraded	enable	ovn_spell_sea_animate_water
ovn_ability_enable_wave_of_destruction	enable	ovn_spell_sea_wave_of_destruction
ovn_ability_enable_wave_of_destruction_upgraded	enable	ovn_spell_sea_wave_of_destruction
hkrul_dauphine_crown	enable	hkrul_dauphine_crown
ovn_ability_enable_fountain_of_life_upgraded	enable_overchage	ovn_spell_sea_fountain_of_life
ovn_ability_enable_water_blast_upgraded	enable_overchage	ovn_spell_sea_water_blast
ovn_ability_enable_drowned_mans_face_upgraded	enable_overchage	ovn_spell_sea_drowned_mans_face
ovn_ability_enable_animate_water_upgraded	enable_overchage	ovn_spell_sea_animate_water
ovn_ability_enable_wave_of_destruction_upgraded	enable_overchage	ovn_spell_sea_wave_of_destruction
ovn_effect_magic_sea_cooldown_fishermans_eye	recharge_mod	ovn_spell_sea_fishermans_eye_mage
ovn_effect_magic_sea_wom_cost_fishermans_eye	cost_mod	ovn_spell_sea_fishermans_eye_mage
rhox_dauphine_effect_ability_effect_range_grand_trident	effect_range_mod	hkrul_manann_trident
rhox_dauphine_main_effect_ability_effect_range_grand_shield	effect_range_mod	hkrul_manann_shield
hkrul_arbatt_scales	enable	hkrul_arbatt_scales
hkrul_arbatt_trident	enable	hkrul_arbatt_trident
