effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/hkrul_mar_caravan		
hkrul_enable_new_artifact	enable	hkrul_new_artifact
hkrul_mundvard_enable_ability_shadow_walk	enable	hkrul_mundvard_ability_shadow_walk
hkrul_mundvard_enable_ability_sword_wsoran	enable	hkrul_mundvard_ability_sword_wsoran
hkrul_enable_alicia_monkshood	enable	hkrul_alicia_monkshood
hkrul_enable_alicia_rose	enable	hkrul_alicia_rose
hkrul_enable_alicia_ring	enable	hkrul_alicia_ring
hkrul_enable_elf_shot	enable	hkrul_elf_shot
hkrul_mar_enable_helm	enable	hkrul_mar_helm
hkrul_mar_enable_ship	enable	hkrul_mar_ship
hkrul_mar_enable_trident	enable	hkrul_mar_trident
hkrul_mar_enable_shield_manann	enable	hkrul_mar_shield_manann
hkrul_mar_enable_rapier	enable	hkrul_mar_rapier
hkrul_mar_enable_smoke	enable	hkrul_mar_smoke
