id	incident_key	payload_key	value	target_key
#cdir_events_incident_payloads_tables;2;db/cdir_events_incident_payloads_tables/rhox_mar				
1955312469	rhox_mar_convoy_completed_altdorf	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_testament]	default
1955312471	rhox_mar_convoy_completed_erengrad	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_loyal]	default
1955312472	rhox_mar_convoy_completed_bordeleaux	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_baron]	default
1955312473	rhox_mar_convoy_completed_port_reaver	TEXT_DISPLAY	LOOKUP[rhox_mar_dummy_hkrul_crispijn_spawns]	default
1955312474	rhox_mar_convoy_completed_miragliano	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_lupo]	default
1955312475	rhox_mar_convoy_completed_barak_varr	TEXT_DISPLAY	LOOKUP[rhox_mar_dummy_hkrul_guzunda_spawns]	default
1955312476	rhox_mar_convoy_completed_lashiek	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_thom]	default
1955312477	rhox_mar_convoy_completed_sudenburg	TEXT_DISPLAY	LOOKUP[rhox_mar_dummy_hkrul_lisette_spawns]	default
1955312478	rhox_mar_convoy_completed_fortress_of_dawn	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_item_fence]	default
1955312479	rhox_mar_convoy_completed_fu_hung	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_rat]	default
1955312480	rhox_mar_convoy_completed_beichai	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_bonsai]	default
1955312481	rhox_mar_convoy_completed_al_haikk	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_follower_bard]	default
1955312482	rhox_mar_convoy_completed_lothern	TEXT_DISPLAY	LOOKUP[rhox_mar_dummy_hkrul_cross_spawns]	default
1955312483	rhox_mar_gained_access_mar_ror	TEXT_DISPLAY	LOOKUP[rhox_mar_dummy_mar_ror_access]	default
1955312484	rhox_mar_gained_access_emp_ror	TEXT_DISPLAY	LOOKUP[rhox_mar_dummy_emp_ror_access]	default
1955312485	rhox_mar_conf_warning	TEXT_DISPLAY	LOOKUP[rhox_mar_conf_warning]	default
1955312486	rhox_mar_free_witch_hunter	SPAWN_AGENT	AGENT[spy];AP_FACTOR[1.0]	default
1955312487	rhox_mar_crispijn_notify	TEXT_DISPLAY	LOOKUP[rhox_mar_crispijn_notify]	default
1955312488	rhox_mar_convoy_completed_arnheim	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_follower_sun]	default
1955312489	rhox_mar_convoy_completed_sjoktraken	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_follower_norsca]	default
1955312490	rhox_mar_convoy_completed_karond_kar	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_item_arnheim]	default
1955312491	rhox_mar_convoy_completed_magritta	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_follower_roelef]	default
1955312492	rhox_mar_convoy_completed_sartosa	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_item_vargheist]	default
1955312493	rhox_mar_convoy_completed_zandri	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_item_trident_manann]	default
1955312494	rhox_mar_convoy_completed_tower_of_the_sun	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_follower_elf]	default
1955312495	rhox_mar_convoy_completed_dai_cheng	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_item_shield_manann]	default
1955312496	rhox_mar_convoy_completed_fu_chow	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_follower_ship]	default
1955312497	rhox_mar_convoy_completed_haichai	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_follower_cathay]	default
1955312498	rhox_mar_convoy_completed_myrmidens	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_follower_bret]	default
1955312499	rhox_mar_double_cathay_reward_jaan	TREASURY	AMOUNT[3000]	default
1955312500	rhox_mar_free_witch_hunter	TEXT_DISPLAY	LOOKUP[rhox_mar_dummy_solkan_mission]	default
1955312501	rhox_mar_convoy_completed_marienburg	ADD_ANCILLARY	ANCILLARY_KEY[hkrul_mar_marienburg_anc]	default
