member	context	max_range	min_range
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/rhox_mar			
wh3_main_corruption_chaos_1-10_rhox_mar_egmond	VALUE	10	1
wh3_main_corruption_chaos_11-20_rhox_mar_egmond	VALUE	20	11
wh3_main_corruption_chaos_21-30_rhox_mar_egmond	VALUE	30	21
wh3_main_corruption_chaos_31-40_rhox_mar_egmond	VALUE	40	31
wh3_main_corruption_chaos_41-50_rhox_mar_egmond	VALUE	50	41
wh3_main_corruption_chaos_51-60_rhox_mar_egmond	VALUE	60	51
wh3_main_corruption_chaos_61-70_rhox_mar_egmond	VALUE	70	61
wh3_main_corruption_chaos_71-80_rhox_mar_egmond	VALUE	80	71
wh3_main_corruption_chaos_81-90_rhox_mar_egmond	VALUE	90	81
wh3_main_corruption_chaos_91-100_rhox_mar_egmond	VALUE	100	91
wh3_main_corruption_khorne_1-10_rhox_mar_egmond	VALUE	10	1
wh3_main_corruption_khorne_11-20_rhox_mar_egmond	VALUE	20	11
wh3_main_corruption_khorne_21-30_rhox_mar_egmond	VALUE	30	21
wh3_main_corruption_khorne_31-40_rhox_mar_egmond	VALUE	40	31
wh3_main_corruption_khorne_41-50_rhox_mar_egmond	VALUE	50	41
wh3_main_corruption_khorne_51-60_rhox_mar_egmond	VALUE	60	51
wh3_main_corruption_khorne_61-70_rhox_mar_egmond	VALUE	70	61
wh3_main_corruption_khorne_71-80_rhox_mar_egmond	VALUE	80	71
wh3_main_corruption_khorne_81-90_rhox_mar_egmond	VALUE	90	81
wh3_main_corruption_khorne_91-100_rhox_mar_egmond	VALUE	100	91
wh3_main_corruption_nurgle_1-10_rhox_mar_egmond	VALUE	10	1
wh3_main_corruption_nurgle_11-20_rhox_mar_egmond	VALUE	20	11
wh3_main_corruption_nurgle_21-30_rhox_mar_egmond	VALUE	30	21
wh3_main_corruption_nurgle_31-40_rhox_mar_egmond	VALUE	40	31
wh3_main_corruption_nurgle_41-50_rhox_mar_egmond	VALUE	50	41
wh3_main_corruption_nurgle_51-60_rhox_mar_egmond	VALUE	60	51
wh3_main_corruption_nurgle_61-70_rhox_mar_egmond	VALUE	70	61
wh3_main_corruption_nurgle_71-80_rhox_mar_egmond	VALUE	80	71
wh3_main_corruption_nurgle_81-90_rhox_mar_egmond	VALUE	90	81
wh3_main_corruption_nurgle_91-100_rhox_mar_egmond	VALUE	100	91
wh3_main_corruption_slaanesh_1-10_rhox_mar_egmond	VALUE	10	1
wh3_main_corruption_slaanesh_11-20_rhox_mar_egmond	VALUE	20	11
wh3_main_corruption_slaanesh_21-30_rhox_mar_egmond	VALUE	30	21
wh3_main_corruption_slaanesh_31-40_rhox_mar_egmond	VALUE	40	31
wh3_main_corruption_slaanesh_41-50_rhox_mar_egmond	VALUE	50	41
wh3_main_corruption_slaanesh_51-60_rhox_mar_egmond	VALUE	60	51
wh3_main_corruption_slaanesh_61-70_rhox_mar_egmond	VALUE	70	61
wh3_main_corruption_slaanesh_71-80_rhox_mar_egmond	VALUE	80	71
wh3_main_corruption_slaanesh_81-90_rhox_mar_egmond	VALUE	90	81
wh3_main_corruption_slaanesh_91-100_rhox_mar_egmond	VALUE	100	91
wh3_main_corruption_tzeentch_1-10_rhox_mar_egmond	VALUE	10	1
wh3_main_corruption_tzeentch_11-20_rhox_mar_egmond	VALUE	20	11
wh3_main_corruption_tzeentch_21-30_rhox_mar_egmond	VALUE	30	21
wh3_main_corruption_tzeentch_31-40_rhox_mar_egmond	VALUE	40	31
wh3_main_corruption_tzeentch_41-50_rhox_mar_egmond	VALUE	50	41
wh3_main_corruption_tzeentch_51-60_rhox_mar_egmond	VALUE	60	51
wh3_main_corruption_tzeentch_61-70_rhox_mar_egmond	VALUE	70	61
wh3_main_corruption_tzeentch_71-80_rhox_mar_egmond	VALUE	80	71
wh3_main_corruption_tzeentch_81-90_rhox_mar_egmond	VALUE	90	81
wh3_main_corruption_tzeentch_91-100_rhox_mar_egmond	VALUE	100	91
