building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/rhox_mar						
rhox_mar_foreign_corruption_1	wh3_main_effect_corruption_vampiric_adjacent_provinces		foreign_building_to_adjacent_province_unseen	3.0000	3.0000	0.0000
rhox_mar_foreign_corruption_1	wh3_main_effect_corruption_vampiric_buildings		foreign_building_to_region_own	5.0000	5.0000	0.0000
rhox_mar_foreign_income_1	wh2_dlc11_effect_percentage_region_income		foreign_building_to_foreign_building_own	50.0000	50.0000	0.0000
rhox_mar_foreign_trade_1	wh_main_effect_economy_gdp_trade_sea		foreign_building_to_foreign_building_own	200.0000	100.0000	0.0000
rhox_mar_foreign_trade_1	wh_main_effect_economy_trade_tariff_mod		foreign_building_to_faction_own_unseen	2.0000	2.0000	0.0000
rhox_mar_foreign_trade_1	wh_main_effect_technology_research_points		faction_to_faction_own_unseen	3.0000	2.0000	0.0000
rhox_mar_foreign_income_1	wh2_dlc11_effect_percentage_region_income	DEFSlavesGreaterThan100	foreign_building_to_foreign_building_own	20.0000	20.0000	0.0000
rhox_mar_foreign_income_1	wh3_main_pooled_resource_def_slaves_buildings_used	DEFSlavesGreaterThan100	foreign_building_to_faction_own_unseen	-50.0000	-50.0000	0.0000
rhox_mar_foreign_trade_1	wh_main_effect_technology_research_points	DEFSlavesGreaterThan100	foreign_building_to_foreign_building_own	10.0000	10.0000	0.0000
rhox_mar_foreign_trade_1	wh3_main_pooled_resource_def_slaves_buildings_used	DEFSlavesGreaterThan100	foreign_building_to_faction_own_unseen	-50.0000	-50.0000	0.0000
rhox_mar_foreign_corruption_1	wh3_main_effect_corruption_vampiric_adjacent_provinces	DEFSlavesGreaterThan100	foreign_building_to_adjacent_province_unseen	2.0000	2.0000	0.0000
rhox_mar_foreign_corruption_1	wh3_main_pooled_resource_def_slaves_buildings_used	DEFSlavesGreaterThan100	foreign_building_to_faction_own_unseen	-50.0000	-50.0000	0.0000
rhox_mar_emp_walls_1	wh_main_effect_agent_action_success_chance_enemy_building		region_to_character_enemy	-10.0000	-5.0000	0.0000
rhox_mar_emp_walls_1	wh_main_effect_force_army_campaign_siege_defend_attrition		region_to_force_own	-5.0000	-5.0000	0.0000
rhox_mar_emp_walls_1	wh_main_effect_force_stat_leadership_siege_defence		region_to_force_own	2.0000	2.0000	0.0000
rhox_mar_emp_walls_1	wh_main_effect_tower_projectile_emp_2		region_to_region_own	2.0000	2.0000	2.0000
rhox_mar_emp_walls_2	wh_main_effect_agent_action_success_chance_enemy_building		region_to_character_enemy	-15.0000	-8.0000	0.0000
rhox_mar_emp_walls_2	wh_main_effect_force_army_campaign_siege_defend_attrition		region_to_force_own	-10.0000	-10.0000	0.0000
rhox_mar_emp_walls_2	wh_main_effect_force_stat_leadership_siege_defence		region_to_force_own	4.0000	4.0000	0.0000
rhox_mar_emp_walls_2	wh_main_effect_tower_projectile_emp_3		region_to_region_own	3.0000	3.0000	3.0000
rhox_mar_emp_walls_3	wh_main_effect_agent_action_success_chance_enemy_building		region_to_character_enemy	-20.0000	-10.0000	0.0000
rhox_mar_emp_walls_3	wh_main_effect_force_army_campaign_siege_defend_attrition		region_to_force_own	-15.0000	-15.0000	0.0000
rhox_mar_emp_walls_3	wh_main_effect_force_stat_leadership_siege_defence		region_to_force_own	6.0000	6.0000	0.0000
rhox_mar_emp_walls_3	wh_main_effect_tower_projectile_emp_4		region_to_region_own	4.0000	4.0000	4.0000
rhox_mar_emp_garrison_1	wh3_main_effect_building_settlement_supply_points		region_to_region_own	50.0000	50.0000	50.0000
rhox_mar_emp_garrison_1	wh3_main_effect_unfortified_settlement_battle		region_to_region_own	1.0000	1.0000	1.0000
rhox_mar_emp_garrison_1	wh_main_effect_agent_action_success_chance_enemy_building		region_to_character_enemy	-10.0000	-5.0000	0.0000
rhox_mar_emp_garrison_2	wh3_main_effect_building_settlement_supply_points		region_to_region_own	100.0000	100.0000	100.0000
